UAI;Nom_lycee;taux_poursuite_etude
0010021T;LYCEE PROFESSIONNEL MARCELLE PARDE LYCEE DES METIERS DU RESEAU TEXTILE MODE CUIR;36
0010021T;LYCEE PROFESSIONNEL MARCELLE PARDE LYCEE DES METIERS DU RESEAU TEXTILE MODE CUIR;50
0010021T;LYCEE PROFESSIONNEL MARCELLE PARDE LYCEE DES METIERS DU RESEAU TEXTILE MODE CUIR;39
0010021T;LYCEE PROFESSIONNEL MARCELLE PARDE LYCEE DES METIERS DU RESEAU TEXTILE MODE CUIR;30
0010032E;LYCEE POLYVALENT XAVIER BICHAT;43
0010032E;LYCEE POLYVALENT XAVIER BICHAT;53
0010032E;LYCEE POLYVALENT XAVIER BICHAT;49
0010032E;LYCEE POLYVALENT XAVIER BICHAT;17
0010032E;LYCEE POLYVALENT XAVIER BICHAT;12
0010032E;LYCEE POLYVALENT XAVIER BICHAT;34
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;49
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;37
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;66
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;43
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;50
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;67
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;32
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;61
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;38
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;64
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;24
0010034G;LYCEE POLYVALENT PAUL PAINLEVE;39
0010070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE;40
0010070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE;32
0010070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE;62
0010070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE;54
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;41
0010072Y;LYCEE POLYVALENT INTERNATIONAL;41
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;39
0010072Y;LYCEE POLYVALENT INTERNATIONAL;39
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;42
0010072Y;LYCEE POLYVALENT INTERNATIONAL;42
0010072Y;LYCEE POLYVALENT INTERNATIONAL;36
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;36
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;28
0010072Y;LYCEE POLYVALENT INTERNATIONAL;38
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;38
0010072Y;LYCEE POLYVALENT INTERNATIONAL;28
0010072Y;LYCEE POLYVALENT INTERNATIONAL;30
0010072Y;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL;30
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;73
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;73
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;70
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;70
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;72
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;72
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;65
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;65
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;69
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;69
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;68
0010099C;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIER DES SERVICES ADMINISTRATIFS ET COMMERCIAUX L;68
