region;Nom_lycee;IPS_voie_pro
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ITEC BOISFLEURY EUROPE LYCEE DES METIERS DU MEDICO SOCIAL;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PHILIPPINE DUCHESNE;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PHILIPPINE DUCHESNE ITEC BOISFLEURY EUROPE;102.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ROBIN;101
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ROBIN;101.3
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;82.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;83.6
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;85.1
AUVERGNE-RHONE-ALPES;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;85.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;92.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;92.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;94.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT;94.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;82.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;83.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;87.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AIGUERANDE;89.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT CAMUS (A ABSORBE L'UAI 0692518M EN 2020);83.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT CAMUS (A ABSORBE L'UAI 0692518M EN 2020);85.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE;85.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE;86.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE;86.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE;89.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DE L INDUSTRIE;90.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DE L INDUSTRIE;92.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DE L INDUSTRIE;92.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DE L INDUSTRIE;93.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DU NUMERIQUE;90.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DU NUMERIQUE;92.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DU NUMERIQUE;92.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ALGOUD LAFFEMAS LYCEE DES METIERS DU NUMERIQUE;93.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES DE MONTAGNE;91.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES DE MONTAGNE;92.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES DE MONTAGNE;93.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES DE MONTAGNE;95
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;91.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;92.3
