UAI;Nom_lycee;taux_de_reussite
0541270M;LYCEE POLYVALENT JEAN HANZELET LYCEE DES METIERS DES SCIENCES ET TECHNIQUES DE L ELECTRICITE ET DE L;87
0840015K;LYCEE POLYVALENT JEAN HENRI FABRE;98
0840015K;LYCEE POLYVALENT JEAN HENRI FABRE;86
0840015K;LYCEE POLYVALENT JEAN HENRI FABRE;94
0840015K;LYCEE POLYVALENT JEAN HENRI FABRE;96
9740979W;LYCEE POLYVALENT JEAN HINGLO LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;75
9740979W;LYCEE POLYVALENT JEAN HINGLO LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;97
9740979W;LYCEE POLYVALENT JEAN HINGLO LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;85
0170135E;LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;82
0170135E;LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;85
0170135E;LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;91
0170135E;LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;88
0680001G;LYCEE POLYVALENT JEAN JACQUES HENNER;86
0680001G;LYCEE POLYVALENT JEAN JACQUES HENNER;90
0680001G;LYCEE POLYVALENT JEAN JACQUES HENNER;92
0680001G;LYCEE POLYVALENT JEAN JACQUES HENNER;85
0950650R;LYCEE POLYVALENT JEAN JACQUES ROUSSEAU;83
0950650R;LYCEE POLYVALENT JEAN JACQUES ROUSSEAU;88
0950650R;LYCEE POLYVALENT JEAN JACQUES ROUSSEAU;81
950641,00 F;LYCEE POLYVALENT JEAN JAURES;65
950641,00 F;LYCEE POLYVALENT JEAN JAURES;80
950641,00 F;LYCEE POLYVALENT JEAN JAURES;67
950641,00 F;LYCEE POLYVALENT JEAN JAURES;79
0810012Y;LYCEE POLYVALENT JEAN JAURES;86
0810012Y;LYCEE POLYVALENT JEAN JAURES;95
0810012Y;LYCEE POLYVALENT JEAN JAURES;89
0810012Y;LYCEE POLYVALENT JEAN JAURES;77
0120025M;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE L ENERGIE;78
0120025M;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE L ENERGIE;86
0120025M;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE L ENERGIE;92
0120025M;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE L ENERGIE;79
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE DU SANITAIRE ET DU SOCIAL;85
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE DU SANITAIRE ET DU SOCIAL;90
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE DU SANITAIRE ET DU SOCIAL;96
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE DU SANITAIRE ET DU SOCIAL;92
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;96
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;90
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;85
0342066L;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;92
0921166T;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;86
0921166T;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;85
0921166T;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;94
0921166T;LYCEE POLYVALENT JEAN JAURES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;63
9741182S;LYCEE POLYVALENT JEAN JOLY;94
9741182S;LYCEE POLYVALENT JEAN JOLY;100
9741182S;LYCEE POLYVALENT JEAN JOLY;75
0890005X;LYCEE POLYVALENT JEAN JOSEPH FOURIER;83
0890005X;LYCEE POLYVALENT JEAN JOSEPH FOURIER;85
0890005X;LYCEE POLYVALENT JEAN JOSEPH FOURIER;74
0890005X;LYCEE POLYVALENT JEAN JOSEPH FOURIER;65
0753268V;LYCEE POLYVALENT JEAN LURCAT;90
0753268V;LYCEE POLYVALENT JEAN LURCAT;84
0753268V;LYCEE POLYVALENT JEAN LURCAT;96
0753268V;LYCEE POLYVALENT JEAN LURCAT;76
0660011D;LYCEE POLYVALENT JEAN LURCAT;82
0660011D;LYCEE POLYVALENT JEAN LURCAT;99
0660011D;LYCEE POLYVALENT JEAN LURCAT;85
0660011D;LYCEE POLYVALENT JEAN LURCAT;88
0561698S;LYCEE POLYVALENT JEAN MACE;88
0561698S;LYCEE POLYVALENT JEAN MACE;90
0561698S;LYCEE POLYVALENT JEAN MACE;93
0561698S;LYCEE POLYVALENT JEAN MACE;79
0940129E;LYCEE POLYVALENT JEAN MACE LYCEE DES METIERS DE LA METALLURGIE DE LA MAINTENANCE INDUSTRIELLE ET ELE;64
0940129E;LYCEE POLYVALENT JEAN MACE LYCEE DES METIERS DE LA METALLURGIE DE LA MAINTENANCE INDUSTRIELLE ET ELE;71
0940129E;LYCEE POLYVALENT JEAN MACE LYCEE DES METIERS DE LA METALLURGIE DE LA MAINTENANCE INDUSTRIELLE ET ELE;70
0340042L;LYCEE POLYVALENT JEAN MERMOZ;65
0340042L;LYCEE POLYVALENT JEAN MERMOZ;62
0340042L;LYCEE POLYVALENT JEAN MERMOZ;80
0340042L;LYCEE POLYVALENT JEAN MERMOZ;77
0680066C;LYCEE POLYVALENT JEAN MERMOZ;84
0680066C;LYCEE POLYVALENT JEAN MERMOZ;80
0680066C;LYCEE POLYVALENT JEAN MERMOZ;91
0680066C;LYCEE POLYVALENT JEAN MERMOZ;88
0611148S;LYCEE POLYVALENT JEAN MONNET;71
0611148S;LYCEE POLYVALENT JEAN MONNET;93
0611148S;LYCEE POLYVALENT JEAN MONNET;100
0611148S;LYCEE POLYVALENT JEAN MONNET;80
0160020K;LYCEE POLYVALENT JEAN MONNET;90
0160020K;LYCEE POLYVALENT JEAN MONNET;88
0160020K;LYCEE POLYVALENT JEAN MONNET;89
0160020K;LYCEE POLYVALENT JEAN MONNET;76
0851400K;LYCEE POLYVALENT JEAN MONNET;91
0851400K;LYCEE POLYVALENT JEAN MONNET;75
0851400K;LYCEE POLYVALENT JEAN MONNET;93
0851400K;LYCEE POLYVALENT JEAN MONNET;86
0133288D;LYCEE POLYVALENT JEAN MONNET;96
0133288D;LYCEE POLYVALENT JEAN MONNET;82
0133288D;LYCEE POLYVALENT JEAN MONNET;89
0133288D;LYCEE POLYVALENT JEAN MONNET;94
0741476C;LYCEE POLYVALENT JEAN MONNET;65
0741476C;LYCEE POLYVALENT JEAN MONNET;87
0741476C;LYCEE POLYVALENT JEAN MONNET;67
0330089T;LYCEE POLYVALENT JEAN MONNET;75
0330089T;LYCEE POLYVALENT JEAN MONNET;87
0330089T;LYCEE POLYVALENT JEAN MONNET;86
0330089T;LYCEE POLYVALENT JEAN MONNET;78
0741476C;LYCEE POLYVALENT JEAN MONNET (A ABSORBE L'UAI 0740010J EN 2019);65
0741476C;LYCEE POLYVALENT JEAN MONNET (A ABSORBE L'UAI 0740010J EN 2019);67
0741476C;LYCEE POLYVALENT JEAN MONNET (A ABSORBE L'UAI 0740010J EN 2019);87
0871030X;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;85
0871030X;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;96
0871030X;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;95
0871030X;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;89
0781839A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE LA VENTE ET DE LA GESTION;95
0781839A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE LA VENTE ET DE LA GESTION;94
0781839A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE LA VENTE ET DE LA GESTION;98
0781839A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE LA VENTE ET DE LA GESTION;80
0030038A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DU DESIGN ET DES ARTS VERRIERS;69
0030038A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DU DESIGN ET DES ARTS VERRIERS;87
0030038A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DU DESIGN ET DES ARTS VERRIERS;67
0030038A;LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DU DESIGN ET DES ARTS VERRIERS;83
0340011C;LYCEE POLYVALENT JEAN MOULIN;80
0340011C;LYCEE POLYVALENT JEAN MOULIN;92
0932118X;LYCEE POLYVALENT JEAN MOULIN;92
0932118X;LYCEE POLYVALENT JEAN MOULIN;87
0932118X;LYCEE POLYVALENT JEAN MOULIN;76
0340011C;LYCEE POLYVALENT JEAN MOULIN;78
0932118X;LYCEE POLYVALENT JEAN MOULIN;75
0340011C;LYCEE POLYVALENT JEAN MOULIN;85
0080040A;LYCEE POLYVALENT JEAN MOULIN;69
0080040A;LYCEE POLYVALENT JEAN MOULIN;70
0080040A;LYCEE POLYVALENT JEAN MOULIN;93
0080040A;LYCEE POLYVALENT JEAN MOULIN;81
0271585B;LYCEE POLYVALENT JEAN MOULIN;69
0271585B;LYCEE POLYVALENT JEAN MOULIN;75
0271585B;LYCEE POLYVALENT JEAN MOULIN;82
0271585B;LYCEE POLYVALENT JEAN MOULIN;89
0492123S;LYCEE POLYVALENT JEAN MOULIN;97
0492123S;LYCEE POLYVALENT JEAN MOULIN;76
0492123S;LYCEE POLYVALENT JEAN MOULIN;93
0492123S;LYCEE POLYVALENT JEAN MOULIN;77
0492123S;LYCEE POLYVALENT JEAN MOULIN LYCEE DES METIERS DE L ENERGIE DE LA CONSTRUCTION ET DU LABORATOIRE;93
0492123S;LYCEE POLYVALENT JEAN MOULIN LYCEE DES METIERS DE L ENERGIE DE LA CONSTRUCTION ET DU LABORATOIRE;77
0492123S;LYCEE POLYVALENT JEAN MOULIN LYCEE DES METIERS DE L ENERGIE DE LA CONSTRUCTION ET DU LABORATOIRE;97
0492123S;LYCEE POLYVALENT JEAN MOULIN LYCEE DES METIERS DE L ENERGIE DE LA CONSTRUCTION ET DU LABORATOIRE;76
6200063Z;LYCEE POLYVALENT JEAN PAUL DE ROCCA SERRA PORTO VECCHIO;71
6200063Z;LYCEE POLYVALENT JEAN PAUL DE ROCCA SERRA PORTO VECCHIO;90
6200063Z;LYCEE POLYVALENT JEAN PAUL DE ROCCA SERRA PORTO VECCHIO;81
6200063Z;LYCEE POLYVALENT JEAN PAUL DE ROCCA SERRA PORTO VECCHIO;69
0130053M;LYCEE POLYVALENT JEAN PERRIN;83
0130053M;LYCEE POLYVALENT JEAN PERRIN;90
0130053M;LYCEE POLYVALENT JEAN PERRIN;68
0951104J;LYCEE POLYVALENT JEAN PERRIN;78
0951104J;LYCEE POLYVALENT JEAN PERRIN;80
0951104J;LYCEE POLYVALENT JEAN PERRIN;86
0951104J;LYCEE POLYVALENT JEAN PERRIN;72
0951104J;LYCEE POLYVALENT JEAN PERRIN LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES POUR L INDUSTRIE ET LE LA;72
0951104J;LYCEE POLYVALENT JEAN PERRIN LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES POUR L INDUSTRIE ET LE LA;86
0951104J;LYCEE POLYVALENT JEAN PERRIN LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES POUR L INDUSTRIE ET LE LA;80
0951104J;LYCEE POLYVALENT JEAN PERRIN LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES POUR L INDUSTRIE ET LE LA;78
0910975R;LYCEE POLYVALENT JEAN PIERRE TIMBAUD;96
0910975R;LYCEE POLYVALENT JEAN PIERRE TIMBAUD;74
0910975R;LYCEE POLYVALENT JEAN PIERRE TIMBAUD;75
0910975R;LYCEE POLYVALENT JEAN PIERRE TIMBAUD;53
0312744P;LYCEE POLYVALENT JEAN PIERRE VERNANT;96
0312744P;LYCEE POLYVALENT JEAN PIERRE VERNANT;100
0312744P;LYCEE POLYVALENT JEAN PIERRE VERNANT;73
0801853E;LYCEE POLYVALENT JEAN RACINE LYCEE DES METIERS;72
0801853E;LYCEE POLYVALENT JEAN RACINE LYCEE DES METIERS;88
0801853E;LYCEE POLYVALENT JEAN RACINE LYCEE DES METIERS;84
0801853E;LYCEE POLYVALENT JEAN RACINE LYCEE DES METIERS;82
0931584S;LYCEE POLYVALENT JEAN ROSTAND;83
0931584S;LYCEE POLYVALENT JEAN ROSTAND;74
0782540M;LYCEE POLYVALENT JEAN ROSTAND;61
0782540M;LYCEE POLYVALENT JEAN ROSTAND;68
0782540M;LYCEE POLYVALENT JEAN ROSTAND;69
0782540M;LYCEE POLYVALENT JEAN ROSTAND;77
0670084C;LYCEE POLYVALENT JEAN ROSTAND;88
0670084C;LYCEE POLYVALENT JEAN ROSTAND;96
0670084C;LYCEE POLYVALENT JEAN ROSTAND;91
0511951U;LYCEE POLYVALENT JEAN TALON LYCEE DES METIERS DE LA GESTION DE LA COMPTABILITE ET DU COMMERCE;67
0511951U;LYCEE POLYVALENT JEAN TALON LYCEE DES METIERS DE LA GESTION DE LA COMPTABILITE ET DU COMMERCE;77
0511951U;LYCEE POLYVALENT JEAN TALON LYCEE DES METIERS DE LA GESTION DE LA COMPTABILITE ET DU COMMERCE;84
0511951U;LYCEE POLYVALENT JEAN TALON LYCEE DES METIERS DE LA GESTION DE LA COMPTABILITE ET DU COMMERCE;72
0400027M;LYCEE POLYVALENT JEAN TARIS LYCEE DES METIERS DE L AERONAUTIQUE;88
0400027M;LYCEE POLYVALENT JEAN TARIS LYCEE DES METIERS DE L AERONAUTIQUE;96
0400027M;LYCEE POLYVALENT JEAN TARIS LYCEE DES METIERS DE L AERONAUTIQUE;99
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE;94
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE;77
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE;93
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE;88
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE (A ABSORBE L'UAI 0570324T EN 20;94
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE (A ABSORBE L'UAI 0570324T EN 20;88
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE (A ABSORBE L'UAI 0570324T EN 20;93
0570085H;LYCEE POLYVALENT JEAN VICTOR PONCELET LYCEE DES METIERS DU TERTIAIRE (A ABSORBE L'UAI 0570324T EN 20;77
0450050K;LYCEE POLYVALENT JEAN ZAY;82
0450050K;LYCEE POLYVALENT JEAN ZAY;92
0450050K;LYCEE POLYVALENT JEAN ZAY;69
0450050K;LYCEE POLYVALENT JEAN ZAY;49
0540076P;LYCEE POLYVALENT JEAN ZAY;84
0540076P;LYCEE POLYVALENT JEAN ZAY;97
0540076P;LYCEE POLYVALENT JEAN ZAY;92
0540076P;LYCEE POLYVALENT JEAN ZAY;93
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;88
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;90
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;97
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;96
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DES SERVICES HOTELIERS ET DU TOURISME;90
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DES SERVICES HOTELIERS ET DU TOURISME;97
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DES SERVICES HOTELIERS ET DU TOURISME;96
0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DES SERVICES HOTELIERS ET DU TOURISME;88
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE;96
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE;93
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE;89
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE;81
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE LYCEE DES METIERS DE L INDUSTRIE ET DU SECTEUR SANITAIRE ET SOCIAL;89
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE LYCEE DES METIERS DE L INDUSTRIE ET DU SECTEUR SANITAIRE ET SOCIAL;93
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE LYCEE DES METIERS DE L INDUSTRIE ET DU SECTEUR SANITAIRE ET SOCIAL;96
0280044W;LYCEE POLYVALENT JEHAN DE BEAUCE LYCEE DES METIERS DE L INDUSTRIE ET DU SECTEUR SANITAIRE ET SOCIAL;81
772276,00 F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;79
772276,00 F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;100
772276,00 F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;83
772276,00 F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;88
420008,00 F;LYCEE POLYVALENT JEREMIE DE LA RUE;94
420008,00 F;LYCEE POLYVALENT JEREMIE DE LA RUE;93
420008,00 F;LYCEE POLYVALENT JEREMIE DE LA RUE;58
420008,00 F;LYCEE POLYVALENT JEREMIE DE LA RUE;76
0590018Z;LYCEE POLYVALENT JESSE DE FOREST;81
0590018Z;LYCEE POLYVALENT JESSE DE FOREST;97
0590018Z;LYCEE POLYVALENT JESSE DE FOREST;82
0590018Z;LYCEE POLYVALENT JESSE DE FOREST;83
0920141D;LYCEE POLYVALENT JOLIOT CURIE;75
0920141D;LYCEE POLYVALENT JOLIOT CURIE;79
0920141D;LYCEE POLYVALENT JOLIOT CURIE;87
0920141D;LYCEE POLYVALENT JOLIOT CURIE;100
0920141D;LYCEE POLYVALENT JOLIOT CURIE (A ABSORBE L'UAI 0921677Y EN 2018);75
0920141D;LYCEE POLYVALENT JOLIOT CURIE (A ABSORBE L'UAI 0921677Y EN 2018);79
0920141D;LYCEE POLYVALENT JOLIOT CURIE (A ABSORBE L'UAI 0921677Y EN 2018);100
0920141D;LYCEE POLYVALENT JOLIOT CURIE (A ABSORBE L'UAI 0921677Y EN 2018);87
312759,00 F;LYCEE POLYVALENT JOSEPH GALLIENI LYCEE DES METIERS DE L AUTOMOBILE DU TRANSPORT ET DE LA LOGISTIQUE;67
312759,00 F;LYCEE POLYVALENT JOSEPH GALLIENI LYCEE DES METIERS DE L AUTOMOBILE DU TRANSPORT ET DE LA LOGISTIQUE;72
312759,00 F;LYCEE POLYVALENT JOSEPH GALLIENI LYCEE DES METIERS DE L AUTOMOBILE DU TRANSPORT ET DE LA LOGISTIQUE;56
312759,00 F;LYCEE POLYVALENT JOSEPH GALLIENI LYCEE DES METIERS DE L AUTOMOBILE DU TRANSPORT ET DE LA LOGISTIQUE;84
0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;80
0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;85
0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;92
0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;82
0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;96
0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;90
0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;91
0590044C;LYCEE POLYVALENT JOSEPH MARIE JACQUARD;84
9720726G;LYCEE POLYVALENT JOSEPH PERNOCK;75
9720726G;LYCEE POLYVALENT JOSEPH PERNOCK;84
9720726G;LYCEE POLYVALENT JOSEPH PERNOCK;95
9720726G;LYCEE POLYVALENT JOSEPH PERNOCK;86
0681839E;LYCEE POLYVALENT JOSEPH STORCK LYCEES DES METIERS DE L HOTELLERIE;88
0681839E;LYCEE POLYVALENT JOSEPH STORCK LYCEES DES METIERS DE L HOTELLERIE;86
0681839E;LYCEE POLYVALENT JOSEPH STORCK LYCEES DES METIERS DE L HOTELLERIE;95
0340028W;LYCEE POLYVALENT JOSEPH VALLOT;88
0340028W;LYCEE POLYVALENT JOSEPH VALLOT;87
0340028W;LYCEE POLYVALENT JOSEPH VALLOT;84
9720725,00 F;LYCEE POLYVALENT JOSEPH ZOBEL;59
9720725,00 F;LYCEE POLYVALENT JOSEPH ZOBEL;89
9720725,00 F;LYCEE POLYVALENT JOSEPH ZOBEL;74
9720725,00 F;LYCEE POLYVALENT JOSEPH ZOBEL;71
0440001M;LYCEE POLYVALENT JOUBERT EMILIEN MAILLARD;78
0440001M;LYCEE POLYVALENT JOUBERT EMILIEN MAILLARD;94
0440001M;LYCEE POLYVALENT JOUBERT EMILIEN MAILLARD;88
0440001M;LYCEE POLYVALENT JOUBERT EMILIEN MAILLARD;89
0142131R;LYCEE POLYVALENT JULES DUMONT D URVILLE;89
0142131R;LYCEE POLYVALENT JULES DUMONT D URVILLE;90
0142131R;LYCEE POLYVALENT JULES DUMONT D URVILLE;71
0782565P;LYCEE POLYVALENT JULES FERRY;79
0782565P;LYCEE POLYVALENT JULES FERRY;83
0782565P;LYCEE POLYVALENT JULES FERRY;77
0770924L;LYCEE POLYVALENT JULES FERRY;84
0770924L;LYCEE POLYVALENT JULES FERRY;82
0770924L;LYCEE POLYVALENT JULES FERRY;85
0770924L;LYCEE POLYVALENT JULES FERRY;80
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L INDUSTRIE;78
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L INDUSTRIE;84
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L INDUSTRIE;94
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DE L INDUSTRIE;87
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DES SCIENCES DE L INDUSTRIE NU;78
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DES SCIENCES DE L INDUSTRIE NU;87
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DES SCIENCES DE L INDUSTRIE NU;94
0110007Y;LYCEE POLYVALENT JULES FIL LYCEE DES METIERS DE LA SANTE DU SOCIAL ET DES SCIENCES DE L INDUSTRIE NU;84
0340040J;LYCEE POLYVALENT JULES GUESDE;83
0340040J;LYCEE POLYVALENT JULES GUESDE;86
0340040J;LYCEE POLYVALENT JULES GUESDE;88
0951756T;LYCEE POLYVALENT JULES VERNE;63
0951756T;LYCEE POLYVALENT JULES VERNE;80
0951756T;LYCEE POLYVALENT JULES VERNE;88
0951756T;LYCEE POLYVALENT JULES VERNE;66
0021939X;LYCEE POLYVALENT JULES VERNE;81
0021939X;LYCEE POLYVALENT JULES VERNE;83
0021939X;LYCEE POLYVALENT JULES VERNE;79
0021939X;LYCEE POLYVALENT JULES VERNE;77
783431,00 F;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L ARTISANAT D ART DANS LES PROFESSIONS DU SPECTACL;76
783431,00 F;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L ARTISANAT D ART DANS LES PROFESSIONS DU SPECTACL;82
783431,00 F;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L ARTISANAT D ART DANS LES PROFESSIONS DU SPECTACL;78
783431,00 F;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L ARTISANAT D ART DANS LES PROFESSIONS DU SPECTACL;79
0141687H;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L AUTOMOBILE DES INGENIERIES ELECTRIQUES ET INDUST;77
0141687H;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L AUTOMOBILE DES INGENIERIES ELECTRIQUES ET INDUST;63
0141687H;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L AUTOMOBILE DES INGENIERIES ELECTRIQUES ET INDUST;85
0141687H;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DE L AUTOMOBILE DES INGENIERIES ELECTRIQUES ET INDUST;79
0021939X;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES POUR UN DEVELOPPEMENT DU;77
0021939X;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES POUR UN DEVELOPPEMENT DU;81
0021939X;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES POUR UN DEVELOPPEMENT DU;83
0021939X;LYCEE POLYVALENT JULES VERNE LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES POUR UN DEVELOPPEMENT DU;79
0492430A;LYCEE POLYVALENT JULIEN GRACQ;100
0492430A;LYCEE POLYVALENT JULIEN GRACQ;97
0492430A;LYCEE POLYVALENT JULIEN GRACQ;93
0710018J;LYCEE POLYVALENT JULIEN WITTMER;79
0710018J;LYCEE POLYVALENT JULIEN WITTMER;94
0710018J;LYCEE POLYVALENT JULIEN WITTMER;95
0710018J;LYCEE POLYVALENT JULIEN WITTMER;86
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME;84
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME;96
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME;85
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME (A ABSORBE L'UAI 0500037U EN;96
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME (A ABSORBE L'UAI 0500037U EN;84
0500036T;LYCEE POLYVALENT JULLIOT DE LA MORANDIERE LYCEE DES METIERS DU NAUTISME (A ABSORBE L'UAI 0500037U EN;85
0221571N;LYCEE POLYVALENT KERRAOUL LYCEE DES METIERS DU SANITAIRE ET DU SOCIAL;100
0221571N;LYCEE POLYVALENT KERRAOUL LYCEE DES METIERS DU SANITAIRE ET DU SOCIAL;96
