UAI;Nom_lycee;taux_de_reussite
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;85
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;80
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;94
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;83
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;93
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;82
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;80
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;89
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;91
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;96
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;93
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;92
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;95
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;81
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;74
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;92
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;81
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;82
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;82
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;80
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;78
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;93
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;90
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;98
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;100
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;89
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;93
