0940121W;LYCEE GENERAL ET TECHNOLOGIQUE D ARSONVAL;;;;;
0940124Z;LYCEE GENERAL ET TECHNOLOGIQUE HECTOR BERLIOZ;;;;;
0940129E;LYCEE POLYVALENT JEAN MACE LYCEE DES METIERS DE LA METALLURGIE DE LA MAINTENANCE INDUSTRIELLE ET ELECTRONIQUE;;;;;
0940134K;LYCEE PROFESSIONNEL VAL DE BIEVRE;;;;;
0940878U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE TEILHARD DE CHARDIN;;;;;
0940880W;LYCEE GENERAL PRIVE ALBERT DE MUN;;;;;
0940885B;LYCEE GENERAL PRIVE SAINT ANDRE;;;;;
0940891H;LYCEE GENERAL PRIVE PETIT VAL;;;;;
0941294W;LYCEE POLYVALENT ADOLPHE CHERIOUX LYCEE DES METIERS DE L HABITAT ET DE L AMENAGEMENT URBAIN;;;;;
0941298A;LYCEE PROFESSIONNEL MICHELET;;;;;
0941301D;LYCEE POLYVALENT FREDERIC MISTRAL;;;;;
0941407U;LYCEE PROFESSIONNEL PRIVE CE 3P;;;;;
0941470M;LYCEE GENERAL ET TECHNOLOGIQUE SAMUEL DE CHAMPLAIN;;;;;
0941877E;LYCEE GENERAL PRIVE NOTRE DAME DES MISSIONS;;;;;
0941930M;LYCEE POLYVALENT GUTENBERG;;;;;
0941952L;LYCEE POLYVALENT FRANCOIS ARAGO;;;;;
0941975L;LYCEE POLYVALENT PIERRE BROSSOLETTE LYCEE DES METIERS DU SOCIAL ET DE L AIDE A LA PERSONNE;;;;;
950641,00 F;LYCEE POLYVALENT JEAN JAURES;;;;;
0950646L;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;;;;;
0950648N;LYCEE GENERAL ET TECHNOLOGIQUE JEAN JACQUES ROUSSEAU;;;;;
0950651S;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT;;;;;
0950785M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME;;;;;
0951618T;LYCEE PROFESSIONNEL AUGUSTE ESCOFFIER LYCEE DES METIERS DE LA GASTRONOMIE ET DES TECHNIQUES DU FROID;;;;;
0951637N;LYCEE GENERAL ET TECHNOLOGIQUE GALILEE;;;;;
0951723G;LYCEE GENERAL ET TECHNOLOGIQUE MONTESQUIEU;;;;;
0951753P;LYCEE GENERAL ET TECHNOLOGIQUE LEONARD DE VINCI;;;;;
951998,00 F;LYCEE POLYVALENT PRIVE DE GARAC LYCEE DES METIERS DE LA VENTE ET DE L APRES VENTE AUTO MOTO ET VEHICULE INDUSTRIEL;;;;;
0952158E;LYCEE GENERAL ET TECHNOLOGIQUE PAUL RICOEUR;;;;;
6200001G;LYCEE GENERAL ET TECHNOLOGIQUE FESCH AJACCIO;;;;;
9710054G;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MAITRISE DE MASSABIELLE;;;;;
9710055H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PENSIONNAT DE VERSAILLES;;;;;
9710066V;LYCEE PROFESSIONNEL PRIVE PENSIONNAT DE VERSAILLES;;;;;
9710709U;LYCEE PROFESSIONNEL GERTY ARCHIMEDE;;;;;
9710746J;LYCEE PROFESSIONNEL AUGUSTIN ARRON;;;;;
9710774P;LYCEE GENERAL ET TECHNOLOGIQUE FAUSTIN FLERET;;;;;
9710922A;LGT YVES LEBORGNE (EX LGT POIRIER DE GISSAC);;;;;
9720002V;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR SCHOELCHER;;;;;
9720003W;LYCEE GENERAL ET TECHNOLOGIQUE BELLEVUE;;;;;
9720074Y;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH DE CLUNY;;;;;
9720429J;LYCEE PROFESSIONNEL DILLON;;;;;
9720501M;LYCEE PROFESSIONNEL CHATEAUBOEUF;;;;;
9720888H;LYCEE POLYVALENT (LYCEE DU NUMERIQUE DU DESIGN ET DES ARTS APPLIQUES VICTOR ANICET (EX SAINT JAMES);;;;;
9730196A;LYCEE GENERAL ET TECHNOLOGIQUE LEON GONTRAN DAMAS;;;;;
9740002J;LYCEE POLYVALENT ROLAND GARROS;;;;;
9740015Y;LYCEE PROFESSIONNEL VUE BELLE LYCEE DES METIERS DU COMMERCE ET DE LA DISTRIBUTION;;;;;
9740020D;LYCEE PROFESSIONNEL VICTOR SCHOELCHER;;;;;
9740054R;LYCEE GENERAL ET TECHNOLOGIQUE LISLET GEOFFROY;;;;;
9740471U;LYCEE GENERAL ET TECHNOLOGIQUE AMIRAL PIERRE BOUVET;;;;;
9740479C;LYCEE PROFESSIONNEL AMIRAL LACAZE;;;;;
9740597,00 F;LYCEE GENERAL ET TECHNOLOGIQUE EVARISTE DE PARNY;;;;;
9740679V;LYCEE PROFESSIONNEL PRIVE CATHOLIQUE SAINTE SUZANNE;;;;;
9740952S;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE POIVRE;;;;;
9741046U;LYCEE GENERAL ET TECHNOLOGIQUE BELLEPIERRE;;;;;
9741255W;LYCEE POLYVALENT PRIVE CATHOLIQUE LA SALLE SAINT CHARLES;;;;;
9741556Y;LYCEE POLYVALENT PRIVE MAISON BLANCHE;;;;;
9760363R;LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS;;;;;
9760370Y;LYCEE POLYVALENT DE MAMOUDZOU NORD;;;;;
0010016M;LYCEE POLYVALENT JOSEPH MARIE CARRIAT;;;;;
0010032E;LYCEE POLYVALENT XAVIER BICHAT;;;;;
0010070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE;;;;;
0010072Y;LYCEE POLYVALENT INTERNATIONAL;;;;;
0010814E;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;;;;;
0011258M;LYCEE PROFESSIONNEL PRIVE ENSEMBLE SCOLAIRE LAMARTINE;;;;;
0011431A;LYCEE GENERAL PRIVE SAINT JOSEPH;;;;;
0020012C;LYCEE POLYVALENT JEAN DE LA FONTAINE LYCEE DES METIERS DE LA SANTE DE LA GESTION ET DU COMMERCE;;;;;
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIELS MATERIELS AGRICOLES ET TRAVAUX PUBLICS);;;;;
0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;;;;;
20498,00 F;LYCEE PROFESSIONNEL PRIVE SAINTE SOPHIE LYCEE DES METIERS DES SERVICES A LA PERSONNE;;;;;
0021479X;LYCEE PROFESSIONNEL FRANCOISE DOLTO LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES;;;;;
0021869W;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;;;;;
0021873A;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST JEAN LA CROIX;;;;;
0022044L;LYCEE POLYVALENT LE CORBUSIER LYCEE DES METIERS DE L HOTELLERIE ET DU BATIMENT;;;;;
22108,00 F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT VINCENT DE PAUL;;;;;
0030061A;LYCEE PROFESSIONNEL ALBERT LONDRES LYCEE DES METIERS DU BOIS DES ENERGIES ET DES SERVICES AUX ORGANISATIONS;;;;;
0030924N;LYCEE PROFESSIONNEL VAL D ALLIER;;;;;
0031041R;LYCEE TECHNOLOGIQUE PRIVE ANNA RODIER;;;;;
0031043T;LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE;;;;;
0040011R;LYCEE PROFESSIONNEL LOUIS MARTIN BRET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DES SECTEURS TERTIAIRE ET INDUSTRIEL;;;;;
0040533H;LYCEE POLYVALENT LES ISCLES;;;;;
0040543U;ECOLE INTERNATIONALE PROVENCE ALPES COTE D AZUR;;;;;
0050003B;LYCEE POLYVALENT D ALTITUDE;;;;;
0050035L;LYCEE GENERAL PRIVE SAINT JOSEPH;;;;;
0060013G;LYCEE GENERAL ET TECHNOLOGIQUE BRISTOL;;;;;
0060014H;LYCEE GENERAL ET TECHNOLOGIQUE JULES FERRY;;;;;
0060015J;LYCEE PROFESSIONNEL LES COTEAUX LYCEE DES METIERS DE LA RELATION CLIENT DE LA MODE ET DU COSTUME DE SPECTACLE;;;;;
0060022S;LYCEE PROFESSIONNEL LEON CHIRIS;;;;;
0060026W;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;;;;;
0060029Z;LYCEE GENERAL ET TECHNOLOGIQUE PARC IMPERIAL;;;;;
0060040L;LYCEE PROFESSIONNEL PASTEUR;;;;;
0060043P;LYCEE PROFESSIONNEL MAGNAN LYCEE DES METIERS DES SOINS ET SERVICES A LA PERSONNE;;;;;
0060670W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE;;;;;
0061462G;LYCEE PROFESSIONNEL PRIVE DON BOSCO LYCEE DES METIERS DE LA MAINTENANCE INDUSTRIELLE ET INDUSTRIE GRAPHIQUE;;;;;
0061561P;LYCEE PROFESSIONNEL ALFRED HUTINEL LYCEE DES METIERS DES ENERGIES ELECTRIQUES;;;;;
61691,00 F;LYCEE GENERAL ET TECHNOLOGIQUE THIERRY MAULNIER LYCEE DES METIERS DE LA CHIMIE;;;;;
0070003R;LYCEE POLYVALENT MARCEL GIMOND;;;;;
0070066J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MARIE RIVIER;;;;;
0070112J;LYCEE PROFESSIONNEL PRIVE SAINT ANDRE;;;;;
0080008R;LYCEE POLYVALENT FRANCOIS BAZIN LYCEE DES METIERS DES TECHNOLOGIES INDUSTRIELLES ET DE L ENERGIE;;;;;
0080039Z;LYCEE POLYVALENT PAUL VERLAINE;;;;;
0080048J;LYCEE PROFESSIONNEL LE CHATEAU;;;;;
0080093H;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;;;;;
0090002D;LYCEE GENERAL ET TECHNOLOGIQUE GABRIEL FAURE;;;;;
0090019X;LYCEE PROFESSIONNEL ARISTIDE BERGES LYCEE DES METIERS BATIMENT HABITAT DANS LE DEVELOPPEMENT DURABLE;;;;;
0100003Z;LYCEE POLYVALENT GASTON BACHELARD;;;;;
100078,00 F;LYCEE PROFESSIONNEL PRIVE JEANNE MANCE;;;;;
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMUNICATION DIGITALE;;;;;
0101028N;LYCEE GENERAL CAMILLE CLAUDEL;;;;;
0110023R;LYCEE POLYVALENT LOUISE MICHEL;;;;;
0120012Y;LYCEE GENERAL ET TECHNOLOGIQUE JEAN VIGO;;;;;
0120038B;LYCEE PROFESSIONNEL FERDINAND FOCH;;;;;
0120051R;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC;;;;;
0120052S;LYCEE GENERAL PRIVE IMMACULEE CONCEPTION;;;;;
0130006L;LYCEE PROFESSIONNEL GAMBETTA LYCEE DES METIERS DU TERTIAIRE;;;;;
0130036U;LYCEE GENERAL ET TECHNOLOGIQUE PERIER;;;;;
0130039X;LYCEE GENERAL ET TECHNOLOGIQUE SAINT CHARLES;;;;;
0130048G;LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY;;;;;
0130053M;LYCEE POLYVALENT JEAN PERRIN;;;;;
0130054N;LYCEE PROFESSIONNEL POINSO CHAPUIS;;;;;
0130056R;LYCEE PROFESSIONNEL LYCEE DES METIERS LA FLORIDE;;;;;
0130068D;LYCEE PROFESSIONNEL CAMILLE JULLIAN;;;;;
0130160D;LYCEE GENERAL ET TECHNOLOGIQUE L EMPERI;;;;;
0131320P;LYCEE GENERAL PRIVE SAINTE CATHERINE DE SIENNE;;;;;
0131342N;LYCEE GENERAL PRIVE SAINT CHARLES CAMAS;;;;;
0131347U;LYCEE GENERAL PRIVE SAINTE TRINITE;;;;;
0131348V;LYCEE GENERAL PRIVE SEVIGNE;;;;;
0131424C;LYCEE PROFESSIONNEL PRIVE ORT LEON BRAMSON;;;;;
0131549N;LYCEE GENERAL ET TECHNOLOGIQUE FREDERIC JOLIOT CURIE;;;;;
0131747D;LYCEE POLYVALENT AUGUSTE ET LOUIS LUMIERE;;;;;
0132495S;LYCEE GENERAL ET TECHNOLOGIQUE ARTHUR RIMBAUD;;;;;
0132790M;LYCEE PROFESSIONNEL PRIVE JACQUES RAYNAUD;;;;;
0132828D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA CADENELLE;;;;;
132922,00 F;LYCEE TECHNOLOGIQUE PRIVE SAINT JEAN;;;;;
0133274N;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;;;;;
0133334D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ORT LEON BRAMSON;;;;;
0133406G;LYCEE POLYVALENT DE LA MEDITERRANEE;;;;;
133474,00 F;LYCEE TECHNOLOGIQUE PRIVE MARIE GASQUET;;;;;
134003,00 F;LYCEE REGIONAL NELSON MANDELA;;;;;
0134107U;IBN KHALDOUN;;;;;
0140014P;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTIN FRESNEL;;;;;
0140018U;LYCEE PROFESSIONNEL VICTOR LEPINE LYCEE DES METIERS D ARTS APPLIQUES A LA CREATION ET AU BIEN ETRE;;;;;
0140043W;LYCEE GENERAL ANDRE MAUROIS;;;;;
0141161L;LYCEE GENERAL PRIVE JEANNE D ARC;;;;;
0141164P;LYCEE GENERAL PRIVE INSTITUTION SAINTE MARIE;;;;;
0141191U;LYCEE PROFESSIONNEL PRIVE NOTRE DAME DE FIDELITE LYCEE DES METIERS DU SECTEUR DE LA SANTE ET DU SOCIAL;;;;;
0141868E;LYCEE PROFESSIONNEL PRIVE LES ROSIERS;;;;;
0142084P;LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME DE FIDELITE;;;;;
0142108R;LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME DE NAZARETH;;;;;
0150006A;LYCEE POLYVALENT MONNET MERMOZ LYCEE DES METIERS DES SCIENCES ET TECHNIQUES APPLIQUEES A L INDUSTRIE ET AUX SERVICES;;;;;
0150022T;LYCEE PROFESSIONNEL JOSEPH CONSTANT;;;;;
0150030B;LYCEE POLYVALENT DE HAUTE AUVERGNE;;;;;
0150646W;LYCEE GENERAL EMILE DUCLAUX;;;;;
0160020K;LYCEE POLYVALENT JEAN MONNET;;;;;
0160079Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARTHE CHAVAGNES;;;;;
0170027M;LYCEE GENERAL ET TECHNOLOGIQUE RENE JOSUE VALIN;;;;;
0170058W;LYCEE GENERAL ET TECHNOLOGIQUE BELLEVUE;;;;;
0170060Y;LYCEE GENERAL ET TECHNOLOGIQUE BERNARD PALISSY;;;;;
0170078T;LYCEE PROFESSIONNEL BERNARD PALISSY;;;;;
0170135E;LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;;;;;
0171418Z;LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY;;;;;
0171428K;LYCEE TECHNOLOGIQUE DE LA MER ET DU LITTORAL;;;;;
0180024D;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;;;;;
0180035R;LYCEE POLYVALENT EDOUARD VAILLANT;;;;;
190008,00 F;LYCEE PROFESSIONNEL BORT ARTENSE;;;;;
0190012K;LYCEE POLYVALENT SIMONE VEIL;;;;;
0190038N;LYCEE GENERAL ET TECHNOLOGIQUE BERNART DE VENTADOUR;;;;;
0190062P;LYCEE POLYVALENT PRIVE NOTRE DAME DE LA PROVIDENCE;;;;;
0210015C;LYCEE GENERAL ET TECHNOLOGIQUE CARNOT;;;;;
0211074D;LYCEE GENERAL PRIVE NOTRE DAME;;;;;
0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;;;;;
0211091X;LYCEE POLYVALENT PRIVE LES ARCADES;;;;;
0211928G;LYCEE GENERAL INTERNATIONAL CHARLES DE GAULLE;;;;;
0211986V;LYCEE POLYVALENT LES MARCS D OR LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;;;;;
0212045J;LYCEE POLYVALENT MAREY;;;;;
0220019B;LYCEE PROFESSIONNEL JULES VERNE LYCEE DES METIERS DE L INDUSTRIE ET DU COMMERCE;;;;;
