Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2020-2021;0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;BTS;30.0;43.0;67.0;67.0;48.0;62.0
cumul 2020-2021;0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;BAC PRO;37.0;63.0;48.0;59.0;54.0;55.0
cumul 2020-2021;0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;BAC PRO;65.0;42.0;30.0;45.0;40.0;46.0
cumul 2020-2021;0021869W;Lycée d'enseignement général et technologique privé Saint Joseph;HAUTS-DE-FRANCE;BTS;12.0;32.0;;;;
cumul 2020-2021;0021906L;Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance;HAUTS-DE-FRANCE;MC5;;;;;;
cumul 2020-2021;0021939X;Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable;HAUTS-DE-FRANCE;BAC PRO;28.0;59.0;16.0;26.0;30.0;39.0
cumul 2020-2021;0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;CAP;25.0;63.0;38.0;47.0;57.0;55.0
cumul 2020-2021;0031043T;Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;CAP;44.0;41.0;40.0;54.0;63.0;63.0
cumul 2020-2021;0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;27.0;59.0;40.0;62.0;57.0;49.0
cumul 2020-2021;0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;CAP;30.0;61.0;;;;
cumul 2020-2021;0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;BTS;23.0;21.0;59.0;82.0;59.0;64.0
cumul 2020-2021;0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;BTS;28.0;46.0;;;;
cumul 2020-2021;0060082G;Lycée professionnel Les Eucalyptus                 Lycée des sciences appliquées aux métiers de l'Industrie;PROVENCE-ALPES-COTE D'AZUR;CAP;;;;;;
cumul 2020-2021;0070003R;Lycée polyvalent Marcel Gimond;AUVERGNE-RHONE-ALPES;BAC PRO;31.0;74.0;21.0;50.0;38.0;62.0
cumul 2020-2021;0070004S;Lycée polyvalent Astier;AUVERGNE-RHONE-ALPES;BAC PRO;35.0;46.0;32.0;47.0;45.0;57.0
cumul 2020-2021;0070031W;Lycée professionnel Marius Bouvier - Lycée des métiers de la prévention et de la protection;AUVERGNE-RHONE-ALPES;CAP;30.0;57.0;23.0;42.0;42.0;65.0
cumul 2020-2021;0080008R;Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie;GRAND EST;BAC PRO;63.0;74.0;;;;
cumul 2020-2021;0080039Z;Lycée polyvalent Paul Verlaine;GRAND EST;CAP;46.0;30.0;7.0;14.0;14.0;25.0
cumul 2020-2021;0090006H;Lycée professionnel Joseph Marie Jacquard - Lycée des métiers des stations pyrénéennes;OCCITANIE;BTS;23.0;33.0;;;;
cumul 2020-2021;0100025Y;Lycée polyvalent Les Lombards;GRAND EST;BTS;31.0;40.0;45.0;53.0;57.0;59.0
cumul 2020-2021;0110023R;Lycée polyvalent Louise Michel;OCCITANIE;BAC PRO;42.0;59.0;30.0;49.0;37.0;51.0
cumul 2020-2021;0110023R;Lycée polyvalent Louise Michel;OCCITANIE;MC4;;;;;;
cumul 2020-2021;0110823K;Lycée professionnel Charles Cros, lycée des métiers de la commercialisation et de l'hôtellerie restauration;OCCITANIE;CAP;32.0;49.0;14.0;22.0;32.0;38.0
cumul 2020-2021;0121429N;Lycée professionnel privé Louis Querbes - Lycée des métiers des secteurs tertiaires - Lycée des métiers paramédicaux et sociaux;OCCITANIE;CAP;;;;;;
cumul 2020-2021;0130010R;Lycée polyvalent Montmajour;PROVENCE-ALPES-COTE D'AZUR;MC5;;;;;;
cumul 2020-2021;0130053M;Lycée polyvalent Jean Perrin;PROVENCE-ALPES-COTE D'AZUR;BTS;30.0;41.0;57.0;63.0;63.0;74.0
cumul 2020-2021;0131432L;LYCEE DES METIERS PRIVE SAINT ANDRE - Lycée des métiers du transport, de la logistique et de la maintenance des véhicules industriels;PROVENCE-ALPES-COTE D'AZUR;CAP;41.0;45.0;39.0;53.0;47.0;52.0
cumul 2020-2021;0131433M;LYCEE DES METIERS PRIVE SAINT HENRI - Lycée des métiers du bâtiment connecté et des énergies renouvelables;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;34.0;68.0;;;;
cumul 2020-2021;0133288D;Lycée polyvalent Jean Monnet;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;34.0;39.0;30.0;45.0;36.0;50.0
cumul 2020-2021;0141178E;Lycée technologique privé Sainte Ursule;NORMANDIE;BTS;21.0;58.0;56.0;72.0;70.0;75.0
cumul 2020-2021;0142108R;Lycée technologique privé Notre Dame de Nazareth;NORMANDIE;BTS;17.0;26.0;79.0;96.0;79.0;82.0
cumul 2020-2021;0161003D;Lycée professionnel Louise Michel;NOUVELLE-AQUITAINE;CAP;36.0;32.0;;;;
cumul 2020-2021;0170051N;Lycée polyvalent Louis Audouin Dubreuil;NOUVELLE-AQUITAINE;BAC PRO;28.0;44.0;27.0;52.0;49.0;53.0
cumul 2020-2021;0170051N;Lycée polyvalent Louis Audouin Dubreuil;NOUVELLE-AQUITAINE;BTS;26.0;43.0;53.0;71.0;74.0;83.0
cumul 2020-2021;0171405K;Lycée Polyvalent Hôtelier du Parc de la Francophonie;NOUVELLE-AQUITAINE;BAC PRO;41.0;65.0;57.0;84.0;73.0;82.0
cumul 2020-2021;0171405K;Lycée Polyvalent Hôtelier du Parc de la Francophonie;NOUVELLE-AQUITAINE;BTS;20.0;46.0;59.0;83.0;66.0;79.0
cumul 2020-2021;0171571R;Lycée professionnel de l'Atlantique - Lycée des métiers du bâtiment, de l'hôtellerie et des services;NOUVELLE-AQUITAINE;MC5;;;;;;
cumul 2020-2021;0180008L;Lycée polyvalent Pierre-Emile Martin - Lycée des métiers de l'ingenierie de l'énergie et de l'environnement;CENTRE-VAL DE LOIRE;BTS;47.0;42.0;;;;
cumul 2020-2021;0180024D;Lycée général et technologique Jean Moulin;CENTRE-VAL DE LOIRE;BTS;20.0;33.0;60.0;80.0;75.0;85.0
cumul 2020-2021;0180035R;Lycée polyvalent Edouard Vaillant;CENTRE-VAL DE LOIRE;BTS;26.0;33.0;68.0;73.0;70.0;68.0
cumul 2020-2021;0180561M;Lycée général et technologique privé Sainte Marie - Saint Dominique;CENTRE-VAL DE LOIRE;BTS;17.0;49.0;48.0;60.0;60.0;67.0
cumul 2020-2021;0190008F;Lycée professionnel Bort-Artense;NOUVELLE-AQUITAINE;BAC PRO;39.0;60.0;29.0;67.0;62.0;75.0
cumul 2020-2021;0190027B;Lycée professionnel Marcel Barbanceys- Lycée des métiers de la Maintenance des Matériels;NOUVELLE-AQUITAINE;BAC PRO;23.0;49.0;63.0;86.0;83.0;89.0
cumul 2020-2021;0190027B;Lycée professionnel Marcel Barbanceys- Lycée des métiers de la Maintenance des Matériels;NOUVELLE-AQUITAINE;CAP;;;;;;
cumul 2020-2021;0211089V;Lycée polyvalent Saint Joseph - La salle;BOURGOGNE-FRANCHE-COMTE;BTS;27.0;61.0;57.0;59.0;63.0;67.0
cumul 2020-2021;0212045J;Lycée polyvalent Marey;BOURGOGNE-FRANCHE-COMTE;BAC PRO;20.0;53.0;35.0;47.0;49.0;59.0
cumul 2020-2021;0220186H;Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité;BRETAGNE;BAC PRO;17.0;50.0;29.0;43.0;43.0;48.0
cumul 2020-2021;0221867K;Lycée professionnel privé Marie Balavenne;BRETAGNE;CAP;21.0;69.0;38.0;35.0;46.0;50.0
cumul 2020-2021;0230003D;Lycée professionnel Jean Jaurès;NOUVELLE-AQUITAINE;CAP;31.0;75.0;;;;
cumul 2020-2021;0230019W;LP Public, Lycée des Métiers du Bâtiment;NOUVELLE-AQUITAINE;BTS;26.0;20.0;79.0;88.0;90.0;94.0
cumul 2020-2021;0240006B;Lycée professionnel Hélène Duc - Lycée des métiers Sud Périgord;NOUVELLE-AQUITAINE;BTS;24.0;23.0;66.0;75.0;73.0;75.0
cumul 2020-2021;0250013D;Lycée professionnel Pierre-Adrien Pâris - Lycée des métiers de la construction durable;BOURGOGNE-FRANCHE-COMTE;CAP;50.0;53.0;22.0;52.0;61.0;70.0
cumul 2020-2021;0250067M;Lycée professionnel Les Huisselets - Lycée des métiers de la sécurité et de la prévention;BOURGOGNE-FRANCHE-COMTE;CAP;21.0;68.0;14.0;11.0;24.0;43.0
cumul 2020-2021;0261277X;Lycée général et technologique Les trois sources;AUVERGNE-RHONE-ALPES;BTS;9.0;47.0;;;;
cumul 2020-2021;0261397C;Lycée polyvalent Henri Laurens - Lycée des métiers de l'automobile;AUVERGNE-RHONE-ALPES;BTS;;;;;;
cumul 2020-2021;0271097W;Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises;NORMANDIE;BAC PRO;32.0;47.0;42.0;54.0;61.0;62.0
cumul 2020-2021;0271585B;Lycée polyvalent Jean Moulin;NORMANDIE;BAC PRO;35.0;47.0;37.0;51.0;52.0;55.0
cumul 2020-2021;0271634E;Lycée polyvalent Jean-Baptiste Decretot - Lycée des métiers de l'hôtellerie, de la restauration et des services;NORMANDIE;BTS;29.0;31.0;46.0;65.0;62.0;70.0
cumul 2020-2021;0280684S;Lycée professionnel privé Notre Dame;CENTRE-VAL DE LOIRE;BAC PRO;42.0;52.0;57.0;63.0;60.0;63.0
cumul 2020-2021;0290022S;Lycée polyvalent Paul Sérusier;BRETAGNE;BAC PRO;43.0;32.0;50.0;63.0;65.0;70.0
cumul 2020-2021;0290022S;Lycée polyvalent Paul Sérusier;BRETAGNE;CAP;40.0;54.0;;;;
cumul 2020-2021;0290030A;Lycée polyvalent Pierre Guéguin - Lycée des métiers de l'énergie industrielle - Lycée des métiers du nautisme;BRETAGNE;BAC PRO;28.0;58.0;56.0;62.0;60.0;64.0
cumul 2020-2021;0290168A;Lycée général et technologique privé Saint-Gabriel;BRETAGNE;BTS;26.0;42.0;45.0;69.0;76.0;90.0
cumul 2020-2021;0292047T;Lycée général et technologique du Léon;BRETAGNE;BTS;16.0;40.0;50.0;78.0;62.0;69.0
cumul 2020-2021;0300023M;Lycée général et technologique Albert Camus;OCCITANIE;BTS;24.0;39.0;52.0;60.0;62.0;58.0
cumul 2020-2021;0300041G;Lycée professionnel  Marie Curie, lycée des métiers de l'hôtellerie et de la restauration;OCCITANIE;BAC PRO;61.0;61.0;34.0;59.0;45.0;59.0
cumul 2020-2021;0310046G;Lycée polyvalent hôtelier - Lycée des métiers de l'hôtellerie et du tourisme d'Occitanie;OCCITANIE;BP;16.0;4.0;88.0;83.0;79.0;75.0
cumul 2020-2021;0311092U;Lycée professionnel Eugène Montel - Lycée des métiers des énergies renouvelables, de l'électrotechnique, maintenance et chaudronnerie industrielle;OCCITANIE;MC4;11.0;25.0;41.0;68.0;66.0;68.0
cumul 2020-2021;0311240E;Etablissement régional d'enseignement adapté de Muret;OCCITANIE;CAP;19.0;45.0;12.0;19.0;31.0;31.0
cumul 2020-2021;0312759F;Lycée polyvalent Joseph Galliéni - Lycée des métiers de l'automobile, du transport et de la logistique;OCCITANIE;BAC PRO;56.0;57.0;42.0;45.0;47.0;55.0
cumul 2020-2021;0330060L;Lycée professionnel Flora Tristan - Lycée des métiers des services et de l'aéronautique;NOUVELLE-AQUITAINE;BAC PRO;30.0;60.0;40.0;52.0;55.0;63.0
cumul 2020-2021;0331495W;Lycée général et technologique privé L'Assomption Ste Clotilde;NOUVELLE-AQUITAINE;BTS;12.0;64.0;38.0;47.0;68.0;68.0
cumul 2020-2021;0332198K;Etablissement régional d'enseignement adapté Le Corbusier;NOUVELLE-AQUITAINE;CAP;38.0;39.0;21.0;28.0;28.0;36.0
cumul 2020-2021;0332832Z;Lycée polyvalent Les Iris;NOUVELLE-AQUITAINE;BTS;38.0;35.0;64.0;62.0;57.0;62.0
cumul 2020-2021;0340992U;Lycée professionnel privé le Sacré-Coeur;OCCITANIE;CAP;;;;;;
cumul 2020-2021;0341794R;Lycée polyvalent Jean-François Champollion, Lycée des métiers de la communication et des usages du numérique;OCCITANIE;BAC PRO;26.0;61.0;22.0;32.0;29.0;33.0
cumul 2020-2021;0350031U;Lycée professionnel Jean Jaurès - Lycée des métiers;BRETAGNE;BAC PRO;36.0;59.0;52.0;59.0;70.0;65.0
cumul 2020-2021;0350031U;Lycée professionnel Jean Jaurès - Lycée des métiers;BRETAGNE;CAP;25.0;68.0;20.0;44.0;46.0;51.0
cumul 2020-2021;0350761M;Lycée professionnel Jean Guéhenno;BRETAGNE;CAP;27.0;47.0;15.0;35.0;45.0;35.0
cumul 2020-2021;0350790U;Lycée professionnel privé Notre-Dame;BRETAGNE;BAC PRO;26.0;63.0;45.0;54.0;62.0;62.0
cumul 2020-2021;0350790U;Lycée professionnel privé Notre-Dame;BRETAGNE;CAP;37.0;61.0;5.0;29.0;33.0;52.0
cumul 2020-2021;0350791V;Lycée polyvalent privé Marcel Callo - Lycée des métiers de l'industrie, de l'automobile et de l'aéronautique;BRETAGNE;BTS;25.0;40.0;56.0;78.0;78.0;88.0
cumul 2020-2021;0380035G;Lycéé polyvalent Lesdiguiéres - Lycée des métiers de l'hôtellerie et du tourisme;AUVERGNE-RHONE-ALPES;BTS;17.0;38.0;62.0;66.0;58.0;59.0
cumul 2020-2021;0380073Y;Lycée polyvalent Elie Cartan - Lycée des métiers des équipements industriels et du textile;AUVERGNE-RHONE-ALPES;BAC PRO;31.0;44.0;50.0;58.0;70.0;75.0
cumul 2020-2021;0381678T;Lycée Polyvalent privé Robin;AUVERGNE-RHONE-ALPES;BTS;14.0;53.0;67.0;70.0;68.0;71.0
cumul 2020-2021;0382274R;Lycée professionnel Françoise Dolto - Lycée des métiers de la santé et du social;AUVERGNE-RHONE-ALPES;CAP;28.0;38.0;60.0;64.0;64.0;68.0
cumul 2020-2021;0382440W;Lycée polyvalent Léonard de Vinci - Lycée des métiers de l'audiovisuel et du design;AUVERGNE-RHONE-ALPES;BAC PRO;25.0;63.0;18.0;55.0;59.0;64.0
cumul 2020-2021;0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;CAP;33.0;50.0;36.0;31.0;33.0;47.0
cumul 2020-2021;0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;BTS;24.0;41.0;70.0;75.0;70.0;72.0
cumul 2020-2021;0390012B;Lycée général Charles Nodier;BOURGOGNE-FRANCHE-COMTE;BTS;5.0;35.0;52.0;62.0;62.0;58.0
cumul 2020-2021;0010878Z;Lycée polyvalent privé Jeanne d'Arc;AUVERGNE-RHONE-ALPES;BAC PRO;42.0;50.0;32.0;37.0;25.0;29.0
cumul 2020-2021;0391146J;Lycée polyvalent privé Pasteur Mont Roland;BOURGOGNE-FRANCHE-COMTE;BTS;31.0;38.0;57.0;56.0;43.0;49.0
cumul 2020-2021;0400002K;Lycée polyvalent Gaston Crampe;NOUVELLE-AQUITAINE;BAC PRO;15.0;80.0;;;;
cumul 2020-2021;0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;BTS;40.0;18.0;42.0;47.0;50.0;50.0
cumul 2020-2021;0400018C;Lycée général et technologique Charles Despiau;NOUVELLE-AQUITAINE;BTS;32.0;42.0;59.0;66.0;66.0;67.0
cumul 2020-2021;0400097N;Lycée professionnel Jean Garnier - Lycée des métiers du bâtiment;NOUVELLE-AQUITAINE;CAP;25.0;52.0;50.0;62.0;67.0;79.0
cumul 2020-2021;0020059D;Lycée général et technologique Gérard de Nerval;HAUTS-DE-FRANCE;BTS;28.0;42.0;47.0;59.0;56.0;67.0
cumul 2020-2021;0020079A;Lycée professionnel Condorcet - Lycée des métiers;HAUTS-DE-FRANCE;CAP;36.0;39.0;32.0;33.0;33.0;41.0
cumul 2020-2021;0410001D;Lycée polyvalent Augustin Thierry;CENTRE-VAL DE LOIRE;BTS;28.0;30.0;71.0;76.0;76.0;84.0
cumul 2020-2021;0410693F;Lycée polyvalent privé La Providence - Lycée des métiers des services à la personne et aux organisations;CENTRE-VAL DE LOIRE;BAC PRO;26.0;56.0;45.0;46.0;52.0;65.0
cumul 2020-2021;0410832G;Lycée professionnel Sonia Delaunay - Lycée des métiers des services à la personne et du tertiaire;CENTRE-VAL DE LOIRE;CAP;25.0;62.0;16.0;34.0;34.0;50.0
cumul 2020-2021;0410899E;Lycée polyvalent Val de Loire;CENTRE-VAL DE LOIRE;MC5;14.0;36.0;;;;
cumul 2020-2021;0022022M;Lycée d'enseignement général et technologique privé Sainte Sophie;HAUTS-DE-FRANCE;BTS;22.0;19.0;31.0;62.0;56.0;56.0
cumul 2020-2021;0022108F;Lycée général et technologique privé Saint-Vincent-de-Paul;HAUTS-DE-FRANCE;BTS;;40.0;;;;
cumul 2020-2021;0420065T;Lycée professionnel du Haut Forez - Lycée des métiers de la restauration et des services à la personne;AUVERGNE-RHONE-ALPES;BAC PRO;31.0;47.0;46.0;59.0;57.0;61.0
cumul 2020-2021;0030935A;Lycée Privé d'Enseignement Supérieur de Vichy;AUVERGNE-RHONE-ALPES;BAC PRO;22.0;74.0;;;;
cumul 2020-2021;0030935A;Lycée Privé d'Enseignement Supérieur de Vichy;AUVERGNE-RHONE-ALPES;BTS;14.0;33.0;56.0;70.0;67.0;75.0
cumul 2020-2021;0031082K;Lycée polyvalent Valéry Larbaud;AUVERGNE-RHONE-ALPES;BTS;24.0;34.0;71.0;80.0;85.0;85.0
cumul 2020-2021;0040003G;Lycée général André Honnorat;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;29.0;40.0;;;;
cumul 2020-2021;0040010P;Lycée général et technologique Félix Esclangon;PROVENCE-ALPES-COTE D'AZUR;BTS;40.0;35.0;51.0;54.0;57.0;73.0
cumul 2020-2021;0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;41.0;50.0;29.0;41.0;37.0;60.0
cumul 2020-2021;0420991Z;Lycée professionnel privé Le Marais Ste Thérèse - Lycée des métiers des technologies de la précision;AUVERGNE-RHONE-ALPES;BAC PRO;18.0;64.0;45.0;58.0;53.0;62.0
cumul 2020-2021;0420996E;Lycée professionnel privé La Grand'Grange;AUVERGNE-RHONE-ALPES;BAC PRO;26.0;64.0;73.0;77.0;67.0;73.0
cumul 2020-2021;0420998G;Lycée professionnel privé des Monts du Lyonnais - Lycée des métiers du commerce et de la gestion, de la mode;AUVERGNE-RHONE-ALPES;BAC PRO;40.0;67.0;49.0;67.0;61.0;74.0
cumul 2020-2021;0421020F;Lycée général privé Ensemble Scolaire La Salle - Site Saint Louis;AUVERGNE-RHONE-ALPES;BTS;11.0;73.0;;;;
cumul 2020-2021;0060040L;Lycée professionnel Louis Pasteur;PROVENCE-ALPES-COTE D'AZUR;CAP;43.0;54.0;25.0;27.0;35.0;45.0
cumul 2020-2021;0421691K;Lycée professionnel Pierre Desgranges - Lycée des métiers énergie et équipements communicants - Lycée des métiers ouvrages métalliques du bâtiment;AUVERGNE-RHONE-ALPES;CAP;39.0;51.0;46.0;42.0;62.0;58.0
cumul 2020-2021;0430020N;Lycée polyvalent Charles et Adrien Dupuy - Lycée des métiers des sciences et techniques;AUVERGNE-RHONE-ALPES;CAP;;;;;;
cumul 2020-2021;0060043P;Lycée professionnel Magnan - Lycée des métiers des soins et services à la personne;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;26.0;55.0;26.0;40.0;37.0;55.0
cumul 2020-2021;0430098Y;Lycée polyvalent privé Anne Marie Martel - Lycée des métiers des services à la personne, de la santé, du social et du tertiaire;AUVERGNE-RHONE-ALPES;CAP;20.0;71.0;;;;
cumul 2020-2021;0070016E;Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante;AUVERGNE-RHONE-ALPES;BAC PRO;51.0;31.0;37.0;76.0;63.0;71.0
cumul 2020-2021;0440035Z;Lycée professionnel Léonard de Vinci;PAYS DE LA LOIRE;MC4;;;;;;
cumul 2020-2021;0070114L;Lycée professionnel privé Notre Dame - Lycée des métiers du travail social et de la santé;AUVERGNE-RHONE-ALPES;CAP;25.0;23.0;27.0;57.0;53.0;57.0
cumul 2020-2021;0440537V;Lycée professionnel Les Savarières;PAYS DE LA LOIRE;BTS;23.0;21.0;68.0;73.0;73.0;82.0
cumul 2020-2021;0441656L;Lycée professionnel Pablo Neruda;PAYS DE LA LOIRE;MC4;;;;;;
cumul 2020-2021;0100023W;Lycée polyvalent Marie de Champagne;GRAND EST;BAC PRO;38.0;69.0;32.0;37.0;44.0;51.0
cumul 2020-2021;0100025Y;Lycée polyvalent Les Lombards;GRAND EST;CAP;40.0;55.0;19.0;52.0;48.0;48.0
cumul 2020-2021;0450066C;Lycée professionnel Mal Leclerc - Lycée des métiers de la maintenance automobile, des équipements industriels, du transports et de la logistique;CENTRE-VAL DE LOIRE;BAC PRO;45.0;34.0;56.0;57.0;56.0;61.0
cumul 2020-2021;0120037A;Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication;OCCITANIE;BAC PRO;46.0;59.0;56.0;72.0;67.0;64.0
cumul 2020-2021;0121429N;Lycée professionnel privé Louis Querbes - Lycée des métiers des secteurs tertiaires - Lycée des métiers paramédicaux et sociaux;OCCITANIE;BAC PRO;26.0;55.0;30.0;54.0;59.0;61.0
cumul 2020-2021;0450764L;Lycée professionnel privé ECBG;CENTRE-VAL DE LOIRE;BAC PRO;23.0;45.0;30.0;36.0;46.0;52.0
cumul 2020-2021;0450786K;Lycée professionnel Paul Gauguin - Lycée des métiers des services;CENTRE-VAL DE LOIRE;MC4;39.0;43.0;;;;
cumul 2020-2021;0130001F;LYCEE DES METIERS EMILE ZOLA;PROVENCE-ALPES-COTE D'AZUR;BTS;22.0;45.0;63.0;67.0;66.0;68.0
cumul 2020-2021;0470003Y;Lycée général et technologique Jean-Baptiste de Baudre;NOUVELLE-AQUITAINE;BTS;34.0;35.0;56.0;66.0;66.0;67.0
cumul 2020-2021;0130006L;Lycée professionnel Gambetta - Lycée des métiers du tertiaire;PROVENCE-ALPES-COTE D'AZUR;CAP;39.0;65.0;;;;
cumul 2020-2021;0470020S;Lycée polyvalent Val de Garonne - Lycée des métiers des techniques innovantes;NOUVELLE-AQUITAINE;CAP;;;;;;
cumul 2020-2021;0470038L;Lycée polyvalent Georges Leygues - Louis Couffignal;NOUVELLE-AQUITAINE;CAP;42.0;58.0;;;;
cumul 2020-2021;0130013U;Lycée professionnel Gustave Eiffel;PROVENCE-ALPES-COTE D'AZUR;CAP;45.0;58.0;25.0;22.0;28.0;47.0
cumul 2020-2021;0130054N;Lycée professionnel Poinso-Chapuis;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;35.0;23.0;41.0;54.0;65.0;68.0
cumul 2020-2021;0130059U;Lycée professionnel Blaise Pascal;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;42.0;54.0;32.0;44.0;34.0;45.0
cumul 2020-2021;0130063Y;Lycée professionnel Leau - Lycée des métiers de l'esthétique, de la coiffure et des métiers associés;PROVENCE-ALPES-COTE D'AZUR;BTS;25.0;17.0;54.0;63.0;71.0;69.0
cumul 2020-2021;0480680D;Lycée polyvalent privé Sacré-Coeur, lycée des métiers de la gastronomie-hôtellerie, des techniques du bois et de la mécanique agricole;OCCITANIE;BTS;20.0;42.0;66.0;84.0;67.0;73.0
cumul 2020-2021;0130064Z;Lycée professionnel Jean Baptiste Brochier - lycée des métiers de l'habillement, des soins et services à la personne et du tertiaire;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;37.0;49.0;34.0;35.0;42.0;45.0
cumul 2020-2021;0490003M;Lycée polyvalent Chevrollier;PAYS DE LA LOIRE;BAC PRO;34.0;63.0;44.0;45.0;49.0;54.0
cumul 2020-2021;0130143K;Lycée polyvalent Paul Langevin;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;15.0;79.0;;;;
cumul 2020-2021;0490055U;Lycée Polyvalent Sadi Carnot - Jean Bertin - Lycée des métiers;PAYS DE LA LOIRE;BTS;18.0;37.0;58.0;82.0;73.0;73.0
cumul 2020-2021;0130161E;Lycée polyvalent Adam de Craponne;PROVENCE-ALPES-COTE D'AZUR;CAP;46.0;20.0;;;;
cumul 2020-2021;0131403E;Lycée technologique privé Saint-Vincent-de-Paul;PROVENCE-ALPES-COTE D'AZUR;CAP;34.0;69.0;;;;
cumul 2020-2021;0492420P;Lycée polyvalent privé Saint Aubin la Salle - Lycée des métiers de l'énergie, des systèmes mécaniques et des applications numériques;PAYS DE LA LOIRE;BTS;32.0;45.0;65.0;80.0;72.0;75.0
cumul 2020-2021;0500032N;Lycée professionnel Edmond Doucet - Lycée des métiers de la production industrielle des ouvrages en bois et des services aux entreprises;NORMANDIE;BP;;;;;;
cumul 2020-2021;0131433M;LYCEE DES METIERS PRIVE SAINT HENRI - Lycée des métiers du bâtiment connecté et des énergies renouvelables;PROVENCE-ALPES-COTE D'AZUR;MC4;;19.0;;;;
cumul 2020-2021;0500119H;Lycée général privé Sévigné;NORMANDIE;BTS;14.0;63.0;;;;
cumul 2020-2021;0500132X;Lycée professionnel privé Ingenieur Cachin;NORMANDIE;CAP;38.0;75.0;;;;
cumul 2020-2021;0131484T;LYCEE DES METIERS PRIVE BRISE LAMES;PROVENCE-ALPES-COTE D'AZUR;CAP;37.0;62.0;38.0;48.0;38.0;57.0
cumul 2020-2021;0131606A;Lycée professionnel La Calade - lycée des métiers de la mode et du tertiaire;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;41.0;61.0;29.0;38.0;38.0;34.0
cumul 2020-2021;0133288D;Lycée polyvalent Jean Monnet;PROVENCE-ALPES-COTE D'AZUR;BTS;22.0;35.0;65.0;59.0;67.0;67.0
cumul 2020-2021;0133525L;Lycée général et technologique Georges Duby;PROVENCE-ALPES-COTE D'AZUR;BTS;14.0;61.0;62.0;62.0;62.0;69.0
cumul 2020-2021;0530011Z;Lycée général et technologique Douanier Rousseau;PAYS DE LA LOIRE;BTS;30.0;42.0;76.0;69.0;71.0;81.0
cumul 2020-2021;0142120D;Lycée polyvalent Charles Tellier - Lycée des métiers du génie numérique;NORMANDIE;BAC PRO;20.0;71.0;35.0;55.0;47.0;55.0
cumul 2020-2021;0530040F;Lycée professionnel Pierre et Marie Curie;PAYS DE LA LOIRE;CAP;24.0;38.0;40.0;58.0;58.0;68.0
cumul 2020-2021;0530778H;Lycée professionnel Gaston Lesnard - Lycée des métiers du bâtiment;PAYS DE LA LOIRE;CAP;60.0;46.0;35.0;51.0;51.0;49.0
cumul 2020-2021;0540037X;Lycée professionnel Paul Lapie;GRAND EST;BAC PRO;47.0;40.0;25.0;40.0;47.0;46.0
cumul 2020-2021;0540042C;Lycée général et technologique Henri Loritz;GRAND EST;BAC PRO;;;;;;
cumul 2020-2021;0540060X;Lycée professionnel La Tournelle;GRAND EST;BAC PRO;41.0;47.0;46.0;51.0;50.0;53.0
