Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2018-2019;0932026X;Lycée polyvalent Alfred Nobel;ILE-DE-FRANCE;CAP;37.0;62.0;18.0;28.0;25.0;28.0
cumul 2018-2019;0932120Z;Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;BAC PRO;23.0;53.0;38.0;38.0;40.0;42.0
cumul 2018-2019;0940116R;Lycée général et technologique Eugène Delacroix;ILE-DE-FRANCE;BTS;49.0;33.0;53.0;50.0;55.0;53.0
cumul 2018-2019;0940140S;Lycée professionnel Gourdou-Leseurre - Lycée des métiers de la maintenance des systèmes industriels;ILE-DE-FRANCE;BAC PRO;40.0;57.0;46.0;49.0;52.0;52.0
cumul 2018-2019;0942130E;Lycée polyvalent Montaleau - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BTS;60.0;67.0;;;;
cumul 2018-2019;0950641F;Lycée polyvalent Jean Jaurès;ILE-DE-FRANCE;BAC PRO;49.0;61.0;36.0;43.0;40.0;47.0
cumul 2018-2019;0950658Z;Lycée professionnel Château d' Epluches, lycée des métiers de l'automobile et du transport;ILE-DE-FRANCE;CAP;42.0;40.0;28.0;40.0;46.0;48.0
cumul 2018-2019;0951281B;Lycée professionnel Turgot, lycée des métiers du commerce et de la gestion administrative;ILE-DE-FRANCE;CAP;29.0;52.0;;;;
cumul 2018-2019;0951728M;Lycée polyvalent Edmond Rostand, lycée des métiers de la relation client et du management;ILE-DE-FRANCE;BTS;18.0;18.0;69.0;53.0;61.0;55.0
cumul 2018-2019;0951788C;Lycée polyvalent George Sand;ILE-DE-FRANCE;BAC PRO;26.0;55.0;34.0;51.0;55.0;60.0
cumul 2018-2019;6200003J;Lycée professionnel Jules Antonini - Ajaccio;CORSE;CAP;32.0;51.0;35.0;62.0;50.0;62.0
cumul 2018-2019;7200093N;Lycée professionnel Jean Nicoli Bastia;CORSE;CAP;62.0;45.0;;;;
cumul 2018-2019;9710090W;Lycée professionnel Bertène Juminer - Lycée des métiers de l'habitat et des services associés;GUADELOUPE;BAC PRO;47.0;47.0;16.0;20.0;28.0;27.0
cumul 2018-2019;9710722H;Lycée polyvalent Carnot;GUADELOUPE;BAC PRO;38.0;46.0;14.0;17.0;24.0;25.0
cumul 2018-2019;9720063L;Lycée général et technologique privé Saint Joseph de Cluny;MARTINIQUE;MC5;;;;;;
cumul 2018-2019;9720091S;Lycée professionnel Léopold Bissol - Lycée des métiers de la construction et de l'habitat;MARTINIQUE;BAC PRO;45.0;57.0;14.0;20.0;27.0;21.0
cumul 2018-2019;9720424D;Lycée professionnel LUMINA SOPHIE;MARTINIQUE;BAC PRO;36.0;61.0;19.0;23.0;15.0;21.0
