UAI;Nom_lycee;IPS_voie_pro
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES;74,2
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES;72,9
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES;73,2
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES;75,5
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES LYCEE DES METIERS DE L INGENIERIE DES SYSTEMES D INFORMA;75,5
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES LYCEE DES METIERS DE L INGENIERIE DES SYSTEMES D INFORMA;73,2
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES LYCEE DES METIERS DE L INGENIERIE DES SYSTEMES D INFORMA;74,2
9711046K;LYCEE POLYVALENT CHEVALIER DE SAINT GEORGES LYCEE DES METIERS DE L INGENIERIE DES SYSTEMES D INFORMA;72,9
0490003M;LYCEE POLYVALENT CHEVROLLIER;87,7
0490003M;LYCEE POLYVALENT CHEVROLLIER;92,1
0490003M;LYCEE POLYVALENT CHEVROLLIER;85,1
0490003M;LYCEE POLYVALENT CHEVROLLIER;93,6
0490003M;LYCEE POLYVALENT CHEVROLLIER LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES;93,6
0490003M;LYCEE POLYVALENT CHEVROLLIER LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES;85,1
0490003M;LYCEE POLYVALENT CHEVROLLIER LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES;92,1
0490003M;LYCEE POLYVALENT CHEVROLLIER LYCEE DES METIERS DES TECHNOLOGIES NUMERIQUES;87,7
0660924W;LYCEE POLYVALENT CHRISTIAN BOURQUIN;85
0660924W;LYCEE POLYVALENT CHRISTIAN BOURQUIN;85,1
0660924W;LYCEE POLYVALENT CHRISTIAN BOURQUIN;84,6
0660924W;LYCEE POLYVALENT CHRISTIAN BOURQUIN;85,3
0941918Z;LYCEE POLYVALENT CHRISTOPHE COLOMB;101,9
0941918Z;LYCEE POLYVALENT CHRISTOPHE COLOMB;100,1
0941918Z;LYCEE POLYVALENT CHRISTOPHE COLOMB;104,6
0941918Z;LYCEE POLYVALENT CHRISTOPHE COLOMB;102,5
690097,00 F;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;95,5
690097,00 F;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;88,4
690097,00 F;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;92
690097,00 F;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;94,8
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DE LA CHAINE GRAPHIQUES;109,9
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DE LA CHAINE GRAPHIQUES;111,1
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DE LA CHAINE GRAPHIQUES;108,9
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DE LA CHAINE GRAPHIQUES;109,8
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;109,9
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;111,1
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;108,9
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;109,8
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE;93,6
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE;94,5
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE;95,6
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE DES MATERIELS;93,6
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE DES MATERIELS;94,5
0500087Y;LYCEE POLYVALENT CLAUDE LEHEC LYCEE DES METIERS DE LA MAINTENANCE DES MATERIELS;95,6
0251711Z;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX;110,1
0251711Z;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX;111,5
0251711Z;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX;109,4
0251711Z;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX;106
0930136T;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECORATION;76,6
0930136T;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECORATION;78,8
0930136T;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECORATION;78,2
0930136T;LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECORATION;78,7
0820883P;LYCEE POLYVALENT CLAUDE NOUGARO;94,7
0820883P;LYCEE POLYVALENT CLAUDE NOUGARO;94,4
0820883P;LYCEE POLYVALENT CLAUDE NOUGARO;94,8
0820883P;LYCEE POLYVALENT CLAUDE NOUGARO;93,9
0772342C;LYCEE POLYVALENT CLEMENT ADER;92,2
0772342C;LYCEE POLYVALENT CLEMENT ADER;90,3
0772342C;LYCEE POLYVALENT CLEMENT ADER;91,8
0772342C;LYCEE POLYVALENT CLEMENT ADER;89,9
0910676R;LYCEE POLYVALENT CLEMENT ADER;85,2
0910676R;LYCEE POLYVALENT CLEMENT ADER;82,6
0910676R;LYCEE POLYVALENT CLEMENT ADER;82,5
0910676R;LYCEE POLYVALENT CLEMENT ADER;84,1
0271581X;LYCEE POLYVALENT CLEMENT ADER;81,1
0271581X;LYCEE POLYVALENT CLEMENT ADER;79,2
0271581X;LYCEE POLYVALENT CLEMENT ADER;85,4
0271581X;LYCEE POLYVALENT CLEMENT ADER;82,7
0210006T;LYCEE POLYVALENT CLOS MAIRE;91,2
0210006T;LYCEE POLYVALENT CLOS MAIRE;92,2
0210006T;LYCEE POLYVALENT CLOS MAIRE;93,1
0210006T;LYCEE POLYVALENT CLOS MAIRE;90,2
0560026Z;LYCEE POLYVALENT COLBERT;95,1
0560026Z;LYCEE POLYVALENT COLBERT;92,6
0560026Z;LYCEE POLYVALENT COLBERT;94,1
0560026Z;LYCEE POLYVALENT COLBERT;93,7
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU NUMERIQUE ET DES TECHNOLOGIES INNOVANTES;80,3
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU NUMERIQUE ET DES TECHNOLOGIES INNOVANTES;80
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU NUMERIQUE ET DES TECHNOLOGIES INNOVANTES;80,4
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU NUMERIQUE ET DES TECHNOLOGIES INNOVANTES;79,3
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU WEB;79,3
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU WEB;80,4
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU WEB;80
0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU WEB;80,3
0940122X;LYCEE POLYVALENT CONDORCET;87,5
0940122X;LYCEE POLYVALENT CONDORCET;94,5
0940122X;LYCEE POLYVALENT CONDORCET;91,7
0940122X;LYCEE POLYVALENT CONDORCET;83,9
0781884Z;LYCEE POLYVALENT CONDORCET;84,5
0781884Z;LYCEE POLYVALENT CONDORCET;87,3
0781884Z;LYCEE POLYVALENT CONDORCET;90,4
0781884Z;LYCEE POLYVALENT CONDORCET;87,1
0831563Y;LYCEE POLYVALENT COSTEBELLE;95,7
0831563Y;LYCEE POLYVALENT COSTEBELLE;99
0831563Y;LYCEE POLYVALENT COSTEBELLE;99,1
0831563Y;LYCEE POLYVALENT COSTEBELLE;96,8
0501219D;LYCEE POLYVALENT CURIE COROT;88
0501219D;LYCEE POLYVALENT CURIE COROT;87,3
0501219D;LYCEE POLYVALENT CURIE COROT;86,5
0501219D;LYCEE POLYVALENT CURIE COROT;88,9
0932122B;LYCEE POLYVALENT D ALEMBERT;72
0932122B;LYCEE POLYVALENT D ALEMBERT;70,6
0932122B;LYCEE POLYVALENT D ALEMBERT;70,8
0750650Z;LYCEE POLYVALENT D ALEMBERT LYCEE DES METIERS DE LA MODE;75,2
0750650Z;LYCEE POLYVALENT D ALEMBERT LYCEE DES METIERS DE LA MODE;77,9
0750650Z;LYCEE POLYVALENT D ALEMBERT LYCEE DES METIERS DE LA MODE;76,6
0750650Z;LYCEE POLYVALENT D ALEMBERT LYCEE DES METIERS DE LA MODE;76
0050003B;LYCEE POLYVALENT D ALTITUDE;81,7
0050003B;LYCEE POLYVALENT D ALTITUDE;87,2
0050003B;LYCEE POLYVALENT D ALTITUDE;85,1
0050003B;LYCEE POLYVALENT D ALTITUDE;93,9
0320025D;LYCEE POLYVALENT D ARTAGNAN LYCEE DES METIERS;84,6
0320025D;LYCEE POLYVALENT D ARTAGNAN LYCEE DES METIERS;86,6
0320025D;LYCEE POLYVALENT D ARTAGNAN LYCEE DES METIERS;87,8
0320025D;LYCEE POLYVALENT D ARTAGNAN LYCEE DES METIERS;85,4
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DE LA CHAUDRONNERIE INDUSTRIELLE;71,4
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DE LA CHAUDRONNERIE INDUSTRIELLE;71,2
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DE LA CHAUDRONNERIE INDUSTRIELLE;73,8
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DES SYSTEMES AUTOMATIQUES;71,2
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DES SYSTEMES AUTOMATIQUES;73,8
0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DES SYSTEMES AUTOMATIQUES;71,4
0720021G;LYCEE POLYVALENT D ESTOURNELLES DE CONSTANT;83,6
0720021G;LYCEE POLYVALENT D ESTOURNELLES DE CONSTANT;84,5
0720021G;LYCEE POLYVALENT D ESTOURNELLES DE CONSTANT;85,5
0720021G;LYCEE POLYVALENT D ESTOURNELLES DE CONSTANT;85,3
0941474S;LYCEE POLYVALENT DARIUS MILHAUD;80,1
0941474S;LYCEE POLYVALENT DARIUS MILHAUD;80,5
0941474S;LYCEE POLYVALENT DARIUS MILHAUD;80,9
7200123W;LYCEE POLYVALENT DE BALAGNE;86,5
7200123W;LYCEE POLYVALENT DE BALAGNE;86,9
7200123W;LYCEE POLYVALENT DE BALAGNE;91,1
7200123W;LYCEE POLYVALENT DE BALAGNE;88,5
9760363R;LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS;61,9
9760363R;LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS;60,9
9760363R;LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS;61,5
9760363R;LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS;60,4
9741206T;LYCEE POLYVALENT DE BOIS D OLIVE;63,7
9741206T;LYCEE POLYVALENT DE BOIS D OLIVE;62,2
9741206T;LYCEE POLYVALENT DE BOIS D OLIVE;66,2
9741206T;LYCEE POLYVALENT DE BOIS D OLIVE;67,9
0400007R;LYCEE POLYVALENT DE BORDA;90,5
0400007R;LYCEE POLYVALENT DE BORDA;92,6
0400007R;LYCEE POLYVALENT DE BORDA;90,1
0400007R;LYCEE POLYVALENT DE BORDA;93,6
0940580V;LYCEE POLYVALENT DE CACHAN;87,2
0940580V;LYCEE POLYVALENT DE CACHAN;88,6
0940580V;LYCEE POLYVALENT DE CACHAN;90,1
0940580V;LYCEE POLYVALENT DE CACHAN;87,6
0940580V;LYCEE POLYVALENT DE CACHAN (A ABSORBE L'UAI 0940111K EN 2017);87,6
0940580V;LYCEE POLYVALENT DE CACHAN (A ABSORBE L'UAI 0940111K EN 2017);90,1
0940580V;LYCEE POLYVALENT DE CACHAN (A ABSORBE L'UAI 0940111K EN 2017);88,6
0940580V;LYCEE POLYVALENT DE CACHAN (A ABSORBE L'UAI 0940111K EN 2017);87,2
0770924L;LYCEE POLYVALENT DE COULOMMIERS;87
0770924L;LYCEE POLYVALENT DE COULOMMIERS;86,5
0770924L;LYCEE POLYVALENT DE COULOMMIERS;90,2
0770924L;LYCEE POLYVALENT DE COULOMMIERS;88,4
0770924L;LYCEE POLYVALENT DE COULOMMIERS (A ABSORBE L'UAI 0772311U EN 2017);86,5
0770924L;LYCEE POLYVALENT DE COULOMMIERS (A ABSORBE L'UAI 0772311U EN 2017);90,2
0770924L;LYCEE POLYVALENT DE COULOMMIERS (A ABSORBE L'UAI 0772311U EN 2017);88,4
0770924L;LYCEE POLYVALENT DE COULOMMIERS (A ABSORBE L'UAI 0772311U EN 2017);87
0150030B;LYCEE POLYVALENT DE HAUTE AUVERGNE;90,5
0150030B;LYCEE POLYVALENT DE HAUTE AUVERGNE;86,1
0150030B;LYCEE POLYVALENT DE HAUTE AUVERGNE;92
9760163Y;LYCEE POLYVALENT DE KAWENI LYCEE DES METIERS DU GOUT ET DES SAVEURS01;60,3
9760163Y;LYCEE POLYVALENT DE KAWENI LYCEE DES METIERS DU GOUT ET DES SAVEURS01;60,8
9760163Y;LYCEE POLYVALENT DE KAWENI LYCEE DES METIERS DU GOUT ET DES SAVEURS01;60,1
801900,00 F;LYCEE POLYVALENT DE L AUTHIE (A ABSORBE L'UAI 0800065L EN 2021);74,4
0381599G;LYCEE POLYVALENT DE L EDIT;80,7
0381599G;LYCEE POLYVALENT DE L EDIT;79,9
0381599G;LYCEE POLYVALENT DE L EDIT;81,7
0381599G;LYCEE POLYVALENT DE L EDIT;79
0381599G;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);79,9
0381599G;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);80,7
0381599G;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);81,7
0381599G;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);79
0290044R;LYCEE POLYVALENT DE L ELORN LYCEE DES METIERS DU BOIS;94,3
0290044R;LYCEE POLYVALENT DE L ELORN LYCEE DES METIERS DU BOIS;94,9
0290044R;LYCEE POLYVALENT DE L ELORN LYCEE DES METIERS DU BOIS;95,7
0951824S;LYCEE POLYVALENT DE L HAUTIL;89
0951824S;LYCEE POLYVALENT DE L HAUTIL;84,8
0951824S;LYCEE POLYVALENT DE L HAUTIL;85,4
0951824S;LYCEE POLYVALENT DE L HAUTIL;85,7
0492224B;LYCEE POLYVALENT DE L HYROME;89
0492224B;LYCEE POLYVALENT DE L HYROME;88
0492224B;LYCEE POLYVALENT DE L HYROME;84,3
0492224B;LYCEE POLYVALENT DE L HYROME;83,6
0210032W;LYCEE POLYVALENT DE LA CERAMIQUE HENRY MOISAND LYCEE DES METIERS;101,7
0210032W;LYCEE POLYVALENT DE LA CERAMIQUE HENRY MOISAND LYCEE DES METIERS;103,2
0210032W;LYCEE POLYVALENT DE LA CERAMIQUE HENRY MOISAND LYCEE DES METIERS;99,7
0210032W;LYCEE POLYVALENT DE LA CERAMIQUE HENRY MOISAND LYCEE DES METIERS;104,5
0772296C;LYCEE POLYVALENT DE LA MARE CARREE;90,7
0772296C;LYCEE POLYVALENT DE LA MARE CARREE;92,7
0772296C;LYCEE POLYVALENT DE LA MARE CARREE;93
0772296C;LYCEE POLYVALENT DE LA MARE CARREE;95,8
0380049X;LYCEE POLYVALENT DE LA MATHEYSINE;92
0380049X;LYCEE POLYVALENT DE LA MATHEYSINE;93,1
0380049X;LYCEE POLYVALENT DE LA MATHEYSINE;92,8
0380049X;LYCEE POLYVALENT DE LA MATHEYSINE;91,8
0133406G;LYCEE POLYVALENT DE LA MEDITERRANEE;96,3
0133406G;LYCEE POLYVALENT DE LA MEDITERRANEE;95,1
0133406G;LYCEE POLYVALENT DE LA MEDITERRANEE;95,4
0133406G;LYCEE POLYVALENT DE LA MEDITERRANEE;96,7
0332870R;LYCEE POLYVALENT DE LA MER LYCEE DES METIERS DE LA MER;102,8
0332870R;LYCEE POLYVALENT DE LA MER LYCEE DES METIERS DE LA MER;101,8
0332870R;LYCEE POLYVALENT DE LA MER LYCEE DES METIERS DE LA MER;102,7
0332870R;LYCEE POLYVALENT DE LA MER LYCEE DES METIERS DE LA MER;103,2
0061987C;LYCEE POLYVALENT DE LA MONTAGNE;100,1
0061987C;LYCEE POLYVALENT DE LA MONTAGNE;103,1
0061987C;LYCEE POLYVALENT DE LA MONTAGNE;101,2
0061987C;LYCEE POLYVALENT DE LA MONTAGNE;97,2
0950947N;LYCEE POLYVALENT DE LA TOURELLE;80,3
0950947N;LYCEE POLYVALENT DE LA TOURELLE;80,5
0950947N;LYCEE POLYVALENT DE LA TOURELLE;81,1
0950947N;LYCEE POLYVALENT DE LA TOURELLE;80,6
0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;99,4
0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;99,2
0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;98,6
0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;100,7
9760370Y;LYCEE POLYVALENT DE MAMOUDZOU NORD;60,8
9760370Y;LYCEE POLYVALENT DE MAMOUDZOU NORD;62,2
9760370Y;LYCEE POLYVALENT DE MAMOUDZOU NORD;60,1
9760370Y;LYCEE POLYVALENT DE MAMOUDZOU NORD;62,8
0251994G;LYCEE POLYVALENT DE MONTBELIARD;82,8
0251994G;LYCEE POLYVALENT DE MONTBELIARD;85,5
0251994G;LYCEE POLYVALENT DE MONTBELIARD;79,8
0251994G;LYCEE POLYVALENT DE MONTBELIARD;82,1
0641844G;LYCEE POLYVALENT DE NAVARRE;98,4
0641844G;LYCEE POLYVALENT DE NAVARRE;96,1
0641844G;LYCEE POLYVALENT DE NAVARRE;100
0641844G;LYCEE POLYVALENT DE NAVARRE;99
0771940R;LYCEE POLYVALENT DE NOISIEL (A ABSORBE L'UAI 0771941S EN 2020);88,5
0771940R;LYCEE POLYVALENT DE NOISIEL (A ABSORBE L'UAI 0771941S EN 2020);92,4
0771940R;LYCEE POLYVALENT DE NOISIEL (A ABSORBE L'UAI 0771941S EN 2020);86,2
0771940R;LYCEE POLYVALENT DE NOISIEL (A ABSORBE L'UAI 0771941S EN 2020);91,8
0920150N;LYCEE POLYVALENT DE PRONY LYCEE DES METIERS DU BOIS DE L EBENISTERIE DE LA TECHNIQUE DE L ARCHITECTU;88,6
0920150N;LYCEE POLYVALENT DE PRONY LYCEE DES METIERS DU BOIS DE L EBENISTERIE DE LA TECHNIQUE DE L ARCHITECTU;90,4
0920150N;LYCEE POLYVALENT DE PRONY LYCEE DES METIERS DU BOIS DE L EBENISTERIE DE LA TECHNIQUE DE L ARCHITECTU;89,3
0920150N;LYCEE POLYVALENT DE PRONY LYCEE DES METIERS DU BOIS DE L EBENISTERIE DE LA TECHNIQUE DE L ARCHITECTU;90,6
0831559U;LYCEE POLYVALENT DE SAINT MAXIMIN LA SAINTE BAUME;96,6
0831559U;LYCEE POLYVALENT DE SAINT MAXIMIN LA SAINTE BAUME;97,1
0831559U;LYCEE POLYVALENT DE SAINT MAXIMIN LA SAINTE BAUME;94,4
0831559U;LYCEE POLYVALENT DE SAINT MAXIMIN LA SAINTE BAUME;95,5
0851696G;LYCEE POLYVALENT DE ST GILLES CROIX DE VIE;90,7
9741380G;LYCEE POLYVALENT DE ST PAUL 4;70,1
9741380G;LYCEE POLYVALENT DE ST PAUL 4;72,1
9741380G;LYCEE POLYVALENT DE ST PAUL 4;74,7
9741380G;LYCEE POLYVALENT DE ST PAUL 4;75,7
9741186W;LYCEE POLYVALENT DE TROIS BASSINS;80,3
9741186W;LYCEE POLYVALENT DE TROIS BASSINS;80,1
9741186W;LYCEE POLYVALENT DE TROIS BASSINS;79,6
0130050J;LYCEE POLYVALENT DENIS DIDEROT;68,1
0130050J;LYCEE POLYVALENT DENIS DIDEROT;67,2
0130050J;LYCEE POLYVALENT DENIS DIDEROT;68,9
0130050J;LYCEE POLYVALENT DENIS DIDEROT;66,9
0130050J;LYCEE POLYVALENT DENIS DIDEROT LYCEE DES METIERS D ART DU DESIGN ET DE L ECO HABITAT;68,9
0130050J;LYCEE POLYVALENT DENIS DIDEROT LYCEE DES METIERS D ART DU DESIGN ET DE L ECO HABITAT;68,1
0130050J;LYCEE POLYVALENT DENIS DIDEROT LYCEE DES METIERS D ART DU DESIGN ET DE L ECO HABITAT;66,9
0130050J;LYCEE POLYVALENT DENIS DIDEROT LYCEE DES METIERS D ART DU DESIGN ET DE L ECO HABITAT;67,2
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC;80,7
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC;80,6
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC;78,2
0310044E;LYCEE POLYVALENT DEODAT DE SEVERAC;87,5
0310044E;LYCEE POLYVALENT DEODAT DE SEVERAC;88,6
0310044E;LYCEE POLYVALENT DEODAT DE SEVERAC;90,7
0310044E;LYCEE POLYVALENT DEODAT DE SEVERAC;86
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC LYCEE DES METIERS DU TRANSPORT LOGISTIQUE ET DU COMMERCE;80,7
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC LYCEE DES METIERS DU TRANSPORT LOGISTIQUE ET DU COMMERCE;78,2
0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC LYCEE DES METIERS DU TRANSPORT LOGISTIQUE ET DU COMMERCE;80,6
0610018N;LYCEE POLYVALENT DES ANDAINES LYCEE DES METIERS DU BOIS ET DE LA TRANSITION ECOLOGIQUE;78,4
0610018N;LYCEE POLYVALENT DES ANDAINES LYCEE DES METIERS DU BOIS ET DE LA TRANSITION ECOLOGIQUE;83,3
0610018N;LYCEE POLYVALENT DES ANDAINES LYCEE DES METIERS DU BOIS ET DE LA TRANSITION ECOLOGIQUE;81,6
0610018N;LYCEE POLYVALENT DES ANDAINES LYCEE DES METIERS DU BOIS ET DE LA TRANSITION ECOLOGIQUE;82,7
0740009H;LYCEE POLYVALENT DES GLIERES;81,1
0740009H;LYCEE POLYVALENT DES GLIERES;80,3
0740009H;LYCEE POLYVALENT DES GLIERES;82,2
0740009H;LYCEE POLYVALENT DES GLIERES;81,3
670087,00 F;LYCEE POLYVALENT DES METIERS A DUMAS LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;98
670087,00 F;LYCEE POLYVALENT DES METIERS A DUMAS LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;100,1
670087,00 F;LYCEE POLYVALENT DES METIERS A DUMAS LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;98,4
670087,00 F;LYCEE POLYVALENT DES METIERS A DUMAS LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;96,2
0300047N;LYCEE POLYVALENT DES METIERS D ARTS CHARLES GIDE;92,3
0300047N;LYCEE POLYVALENT DES METIERS D ARTS CHARLES GIDE;92,5
0300047N;LYCEE POLYVALENT DES METIERS D ARTS CHARLES GIDE;94,6
0300047N;LYCEE POLYVALENT DES METIERS D ARTS CHARLES GIDE;94,7
0390029V;LYCEE POLYVALENT DES METIERS DU BOIS;107
0390029V;LYCEE POLYVALENT DES METIERS DU BOIS;102,1
0390029V;LYCEE POLYVALENT DES METIERS DU BOIS;108,4
0390029V;LYCEE POLYVALENT DES METIERS DU BOIS;103,8
0210013A;LYCEE POLYVALENT DESIRE NISARD;83,4
0210013A;LYCEE POLYVALENT DESIRE NISARD;85,4
0210013A;LYCEE POLYVALENT DESIRE NISARD;86
0210013A;LYCEE POLYVALENT DESIRE NISARD;86,2
0520021R;LYCEE POLYVALENT DIDEROT;80,6
0520021R;LYCEE POLYVALENT DIDEROT;77,5
0520021R;LYCEE POLYVALENT DIDEROT;77,9
0520021R;LYCEE POLYVALENT DIDEROT;78,5
0750712S;LYCEE POLYVALENT DIDEROT;94,3
0750712S;LYCEE POLYVALENT DIDEROT;97,9
0750712S;LYCEE POLYVALENT DIDEROT;97,7
0750712S;LYCEE POLYVALENT DIDEROT;94,9
0260019E;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;79,7
0260019E;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;80,8
0260019E;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;79,8
0260019E;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;80,4
0750676C;LYCEE POLYVALENT DORIAN LYCEE DES METIERS DE LA MECATRONIQUE DE LA TOPOGRAPHIE ET DE LA VERRERIE;99,3
0750676C;LYCEE POLYVALENT DORIAN LYCEE DES METIERS DE LA MECATRONIQUE DE LA TOPOGRAPHIE ET DE LA VERRERIE;99,2
0750676C;LYCEE POLYVALENT DORIAN LYCEE DES METIERS DE LA MECATRONIQUE DE LA TOPOGRAPHIE ET DE LA VERRERIE;106,9
0750676C;LYCEE POLYVALENT DORIAN LYCEE DES METIERS DE LA MECATRONIQUE DE LA TOPOGRAPHIE ET DE LA VERRERIE;102,3
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;85,1
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;90,3
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;87,7
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;89,9
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;89,9
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;87,7
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;90,3
0260023J;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;85,1
7200719U;LYCEE POLYVALENT DU FIUM ORBU;77,8
7200719U;LYCEE POLYVALENT DU FIUM ORBU;84,2
7200719U;LYCEE POLYVALENT DU FIUM ORBU;79,4
7200719U;LYCEE POLYVALENT DU FIUM ORBU;84,8
0763002A;LYCEE POLYVALENT DU GOLF;79,1
0763002A;LYCEE POLYVALENT DU GOLF;80,9
0763002A;LYCEE POLYVALENT DU GOLF;80,6
0763002A;LYCEE POLYVALENT DU GOLF;79,8
0831242Z;LYCEE POLYVALENT DU GOLFE DE SAINT TROPEZ;90,8
0831242Z;LYCEE POLYVALENT DU GOLFE DE SAINT TROPEZ;88
0831242Z;LYCEE POLYVALENT DU GOLFE DE SAINT TROPEZ;91,9
0831242Z;LYCEE POLYVALENT DU GOLFE DE SAINT TROPEZ;88,6
382863,00 F;LYCEE POLYVALENT DU GRESIVAUDAN;118,1
382863,00 F;LYCEE POLYVALENT DU GRESIVAUDAN;112,9
382863,00 F;LYCEE POLYVALENT DU GRESIVAUDAN;124,3
