UAI;Nom_lycee;IPS_voie_pro
0250014E;LP CONDE LYCEE DES METIERS DES SERVICES ET SOINS A LA PERSONNE ET DE L HOTELLERIE RESTAURATION;83,4
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;81,7
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;80,8
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;79,7
0590265T;LP EDMOND LABBE LYCEE DES METIERS SANITAIRE SOCIAL LYCEE DES METIERS MAINTENANCE INDUSTRIELLE LYCEE ;83,9
0942355Z;LP ENSEMBLE SAINTE MARIE;124,8
0942355Z;LP ENSEMBLE SAINTE MARIE;126,3
0942355Z;LP ENSEMBLE SAINTE MARIE;125,1
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;90,6
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;90
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;94,4
0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;88
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;81,5
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;79,8
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;80,1
0720034W;LP FUNAY HELENE BOUCHER LYC MET DU BATIMENT DE L HOTELLERIE RESTAURATION LYC MET DES SERVICES A LA P;79,2
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;90,4
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;90,8
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;90,2
0700011G;LP HENRI FERTET LYCEE DES METIERS DE L AUTOMOBILE ET DES TRANSPORTS;90,9
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;86,3
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;85,9
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;85,8
0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;88,7
0142178S;LP JEAN MERMOZ;82,4
0142178S;LP JEAN MERMOZ;84,4
0142178S;LP JEAN MERMOZ;81,9
0142178S;LP JEAN MERMOZ;84,1
0530079Y;LP LEONARD DE VINCI LYC MET DE L IMPRIMERIE ET DE LA COMMUNICATION VISUELLE LYC MET DES VEHICULES ET;86,2
0530079Y;LP LEONARD DE VINCI LYC MET DE L IMPRIMERIE ET DE LA COMMUNICATION VISUELLE LYC MET DES VEHICULES ET;85
0530079Y;LP LEONARD DE VINCI LYC MET DE L IMPRIMERIE ET DE LA COMMUNICATION VISUELLE LYC MET DES VEHICULES ET;84
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;84,2
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;83,1
0250067M;LP LES HUISSELETS LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION;82,9
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;83,9
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;85,2
